node_count	software_startup_ms	traffic_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	1599	10204	6631151	30664	0	0	0	0	1908770	8914	0	0	0	0	48	48	0.32239583333333327	0.08	2.03	38.1
64	1764	13379	13894338	57592	0	0	0	0	3931682	16385	0	0	0	0	63	63	0.43419047619047624	0.39	0.81	20.0
81	1959	16975	28642207	100978	0	0	0	0	7957871	28299	0	0	0	0	80	80	0.5947625	0.84	1.66	10.89
100	2171	20998	53980539	167601	0	0	0	0	14781606	46331	0	0	0	0	99	99	0.8098383838383839	0.82	2.55	7.16
121	2405	25434	95766174	267893	0	0	0	0	25963946	73308	0	0	0	0	120	120	1.1519833333333331	1.21	4.01	6.36
144	2690	30265	160164983	413891	0	0	0	0	43022911	112369	0	0	0	0	143	143	1.5400489510489517	1.64	4.12	5.43
169	2998	35576	236621053	577202	0	0	0	0	63062719	155477	0	0	0	0	168	168	2.1994226190476187	2.76	9.65	8.31
196	3345	41277	263944150	650402	0	0	0	0	69666456	174195	0	0	0	0	195	195	3.3618820512820515	2.86	8.94	8.82
225	3715	47972	301978670	723889	0	0	0	0	79230534	193577	0	0	0	0	224	207	4.946700483091788	11.28	7.43	7.93
256	4211	54794	388873182	885676	0	0	0	0	101121219	235958	0	204	0	0	255	192	6.963749999999998	3.36	12.78	11.63
289	4431	62089	357532723	343465	0	0	0	0	90328532	87340	0	0	0	0	288	0	0.0	1.85	5.9	9.77
