node_count	software_startup_ms	traffic_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	1586	10210	577026	3670	0	0	0	0	168753	1071	0	0	0	0	48	48	0.2845208333333334	7.38	7.28	60.28
64	1747	13376	971894	5501	0	0	0	0	278966	1575	0	0	0	0	63	63	0.3211904761904762	1.36	1.98	32.21
81	1937	16978	1606335	8036	0	0	0	0	455788	2280	0	0	0	0	80	80	0.3678500000000001	2.22	1.91	17.14
100	2151	21005	2647509	11752	0	0	0	0	739637	3275	0	0	0	0	99	99	0.35691919191919186	7.39	6.56	11.14
121	2399	25450	4504773	16442	0	0	0	0	1234100	4472	0	0	0	0	120	120	0.3785916666666667	8.58	8.82	8.86
144	2643	30297	6927548	22489	0	0	0	0	1896131	6163	0	0	0	0	143	143	0.5100979020979021	3.54	5.47	6.71
169	2919	35594	10722282	29433	0	0	0	0	2907100	8050	0	0	0	0	168	168	0.5602023809523811	3.19	5.53	5.92
196	3232	41292	15992454	40011	0	0	0	0	4323378	10855	0	0	0	0	195	195	0.5744358974358976	3.48	9.22	8.54
225	3552	47394	23423380	53170	0	0	0	0	6301926	14438	0	0	0	0	224	224	0.6573616071428576	3.35	9.24	9.23
256	3906	53973	33735608	67927	0	0	0	0	8991328	18196	0	0	0	0	255	255	0.6766000000000008	4.57	8.73	8.63
289	4280	60966	46928086	88248	0	0	0	0	12479760	23605	0	0	0	0	288	288	0.7277118055555551	5.14	13.94	12.78
324	4677	68418	65881472	114383	0	0	0	0	17446842	30393	0	0	0	0	323	323	0.731356037151703	3.2	8.01	10.15
361	5128	76299	89226008	143466	0	0	0	0	23599624	38280	0	0	0	0	360	360	0.7984111111111107	2.58	10.37	11.58
400	5633	84651	119830018	183156	0	0	0	0	31553067	48480	0	0	0	0	399	399	0.8443759398496238	3.16	11.69	13.42
441	6266	93412	159543941	229304	0	0	0	0	41878950	60170	0	0	0	0	440	440	0.9121340909090899	1.94	12.52	15.65
484	6853	102639	209732239	285743	0	0	0	0	54917231	74685	0	0	0	0	483	483	0.9601242236024845	4.47	14.81	18.73
529	7490	112349	271658294	351978	0	0	0	0	70970678	91924	0	0	0	0	528	528	1.0201344696969699	2.99	20.58	25.05
576	8120	122486	349374919	428206	0	0	0	0	91137158	112144	0	0	0	0	575	575	1.1093652173913042	3.39	22.05	31.63
625	8827	133209	443814594	521343	0	0	0	0	115579920	136002	0	0	0	0	624	624	1.1576698717948715	6.13	28.54	41.87
676	9637	144304	559551990	629714	0	0	0	0	145402177	163741	0	0	0	0	675	675	1.281242962962962	5.44	34.77	54.78
729	10482	156408	700332355	754606	0	0	0	0	182049811	196195	0	0	0	0	728	728	1.4489024725274717	7.81	40.66	70.08
784	11321	170259	884431247	944860	0	0	0	0	229430945	245351	0	0	0	0	783	783	1.6595019157088118	11.4	53.21	88.27
841	12457	184388	1113455580	1292694	0	0	0	0	288253518	334274	0	0	0	0	840	840	1.3332595238095242	11.25	67.4	111.55
900	14241	277915	2415900167	2639080	0	0	0	0	622970769	680418	0	0	0	0	899	2	0.23	787.68	557.01	358.11
