node_count	software_startup_ms	traffic_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	1600	10209	4958386	27627	0	0	0	0	1445222	8059	0	0	0	0	48	48	0.5512291666666665	2.44	5.79	55.91
64	1764	13370	10733524	51826	0	0	0	0	3063616	14782	0	0	0	0	63	63	0.7658888888888887	0.39	1.54	29.7
81	1955	16985	21199586	90765	0	0	0	0	5954780	25504	0	0	0	0	80	80	1.0493124999999996	0.98	1.56	15.76
100	2188	20997	39619456	149582	0	0	0	0	11002794	41645	0	0	0	0	99	99	1.4084545454545452	2.41	5.1	10.22
121	2437	25416	69346274	237645	0	0	0	0	19040360	65222	0	0	0	0	120	120	2.099208333333333	2.24	6.64	8.08
144	2698	30308	115723774	363179	0	0	0	0	31553020	99184	0	0	0	0	143	143	2.7842797202797205	1.25	4.18	6.13
169	3011	35594	169239966	508887	0	0	0	0	45763666	137829	0	0	0	0	168	166	3.951210843373495	1.45	4.21	5.4
196	3364	41308	157714172	542134	0	0	0	0	42291412	146006	0	0	0	0	195	182	5.605280219780219	1.7	6.86	7.76
225	3771	47395	130714456	580702	0	0	0	0	34870928	156054	0	0	0	0	224	172	6.844686046511629	1.64	6.76	8.32
256	4166	54958	122701166	690447	0	0	0	0	32528972	184536	0	0	0	0	255	141	7.556581560283684	1.53	6.25	7.74
