node_count	software_startup_ms	traffic_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	2494	10208	5802514	29847	0	0	0	0	1683214	8657	0	0	0	0	48	48	0.3193958333333333	1.15	4.02	47.99
64	2628	13379	12370286	55966	0	0	0	0	3523761	15934	0	0	0	0	63	63	0.4244444444444444	0.47	1.12	25.34
81	3079	16977	24344156	97090	0	0	0	0	6837834	27295	0	0	0	0	80	80	0.5837124999999999	0.59	1.07	13.31
100	3531	21007	45247108	159635	0	0	0	0	12542876	44292	0	0	0	0	99	99	0.8083434343434341	0.92	3.22	8.63
121	3993	25430	80196303	257561	0	0	0	0	22001667	70697	0	0	0	0	120	120	1.1044499999999997	1.65	4.46	6.98
144	4645	30283	132422080	392429	0	0	0	0	36042218	106846	0	0	0	0	143	143	1.5548531468531466	1.41	2.97	5.29
169	5495	35596	189824542	543011	0	0	0	0	51343755	146900	0	0	0	0	168	168	2.2519583333333326	3.94	4.75	5.39
196	5864	41294	191352229	595372	0	0	0	0	51437457	160383	0	0	0	0	195	195	3.344348717948718	2.36	4.42	6.58
225	6592	47421	184719410	642533	0	0	0	0	49392088	172229	0	0	0	0	224	214	4.543476635514018	3.06	5.38	7.48
256	7164	53941	197443459	712536	0	0	0	0	53527030	194585	0	2089	0	0	255	228	6.350925438596495	3.19	4.66	6.75
289	8184	60967	121541314	204085	0	0	0	0	32571810	54728	0	0	0	0	288	286	0.7645104895104895	3.22	10.65	12.1
324	9383	68442	192122249	287299	0	0	0	0	51406165	77071	0	0	0	0	323	318	0.8196037735849057	2.84	10.02	11.22
361	10410	76373	312194891	402716	0	0	0	0	83115675	107622	0	0	0	0	360	340	0.8574941176470586	3.17	12.97	13.55
400	11307	84725	486208377	586447	0	0	0	0	128627657	155667	0	0	0	0	399	364	0.9281016483516485	4.22	16.47	16.78
441	12484	93547	699728039	802036	0	0	0	0	184143800	211613	0	0	0	0	440	404	0.9955321782178203	4.98	19.67	20.28
484	13658	102835	997498877	1101919	0	0	0	0	261547168	289804	0	0	0	0	483	420	1.0710761904761914	5.05	24.09	25.14
529	14174	112599	1326114681	1429708	0	0	0	0	346694102	374750	0	0	0	0	528	455	1.1620065934065942	5.6	37.08	37.52
576	15813	122761	1716030104	1817253	0	0	0	0	447395345	474880	0	0	0	0	575	477	1.2146394129979023	8.92	51.25	51.38
625	17778	133442	2188701366	2277096	0	0	0	0	569800917	594131	0	0	0	0	624	486	1.252812757201646	13.29	72.73	71.92
676	20612	144685	2741246469	2819465	0	0	0	0	712195120	734271	0	0	0	0	675	539	1.284803339517625	16.36	99.92	99.09
729	21799	157005	3461924548	3522851	0	0	0	0	897869585	915333	0	0	0	0	728	542	1.3447878228782286	20.67	123.13	124.41
784	25873	172877	4372983277	4390688	0	0	0	0	1132192164	1138964	0	0	0	0	783	573	1.5052774869109944	26.08	157.11	160.94
841	27623	214854	5907295351	5715638	0	0	0	0	1528762154	1483698	0	0	0	0	840	518	1.206588803088803	541.31	381.29	271.87
900	33909	280881	7338034867	7038002	0	0	0	0	1902907778	1830004	0	0	0	0	899	444	1.3085372460496607	536.89	515.93	447.39
