node_count	software_startup_ms	traffic_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	2873	10458	3592828	17084	0	0	0	0	1733494	7915	0	0	0	0	49	49	0.19508163265306125	0.48	143.29	310.92
100	4958	21084	26210391	92561	0	0	0	0	12887102	43418	0	0	0	0	99	99	0.361060606060606	0.26	17.42	155.83
150	6034	31706	85570368	252108	0	0	0	0	42180286	119015	0	0	0	0	149	149	0.6991543624161074	0.74	3.89	71.82
200	8688	42366	166181891	452722	0	0	0	0	82064645	216327	0	0	0	0	199	199	0.9261758793969848	2.37	4.76	36.28
250	9978	53003	177987577	529120	0	0	0	0	87668977	253588	0	0	0	0	249	249	1.5729437751004018	2.52	5.38	20.56
300	12376	63675	195376066	609846	0	0	0	0	95241535	290343	0	0	0	0	299	299	2.0124448160535127	2.98	7.57	16.56
350	14071	74845	279941922	748462	0	0	0	0	130653382	345739	0	0	0	0	349	349	3.49203438395416	3.16	5.23	10.17
400	16734	86190	360076512	843666	0	0	0	0	165119386	387457	0	1945	0	0	399	399	3.429378446115289	3.19	6.91	9.88
450	19060	98665	440569357	946574	0	0	0	0	205122592	427596	0	9209	0	0	449	449	5.553187082405347	7.86	8.55	10.12
500	24419	111310	560826114	1068631	0	0	0	0	260204027	478115	0	6916	0	0	499	499	8.023891783567132	5.18	8.69	12.08
550	26616	123686	766872122	1321321	0	0	0	0	347223589	571772	0	5949	0	0	549	536	7.6552238805970125	5.84	17.09	28.62
600	31119	136114	1010750423	1661614	0	23	0	0	453295630	718537	0	25145	0	0	599	571	13.732124343257436	7.74	14.23	22.16
650	35804	147745	1348477970	1959047	0	0	0	0	600552837	843622	0	1606	0	0	649	590	14.961038983050843	6.0	14.41	21.0
700	38150	160686	1557639157	2166454	0	0	0	0	704122857	937897	0	1261	0	0	699	499	21.241346693386777	10.17	19.25	28.55
750	40790	171430	1572815446	1657344	0	0	0	0	687329232	726454	0	0	0	0	749	591	0.7511133671742813	27.7	35.91	44.35
800	42272	182632	2191373675	2262267	0	0	0	0	964735482	992906	0	0	0	0	799	708	0.6181285310734458	20.26	28.59	44.57
850	47024	195348	2563001284	2615521	0	0	0	0	1130446250	1147068	0	0	0	0	849	809	0.6993807169344863	12.53	27.25	45.98
900	52252	207953	3146083072	3145192	0	0	0	0	1381580744	1376609	0	0	0	0	899	831	0.9562548076923066	104.92	79.17	79.1
950	56508	223137	2910674475	2950781	0	0	0	0	1252654024	1270528	0	0	0	0	949	727	0.9677551581843192	83.46	98.43	169.64
1000	63063	235181	3433071092	3462265	0	0	0	0	1465721887	1485758	0	0	0	0	999	797	0.957570890840652	134.67	113.53	129.02
1050	69691	248981	3593777822	3560832	0	0	0	0	1523852790	1508940	0	0	0	0	1049	764	1.0573986928104573	90.78	97.15	106.82
1100	73133	274816	3733121056	3920311	0	0	0	0	1611596647	1697996	0	0	0	0	1099	447	1.1112366071428568	82.49	70.75	93.51
