node_count	software_startup_ms	traffic_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	1854	10200	62067690	233192	0	0	0	0	16859206	63594	0	0	0	0	48	48	0.49816666666666687	0.75	9.64	15.01
64	2246	13371	155108684	550542	0	0	0	0	41512024	147757	0	0	0	0	63	63	0.6149682539682539	0.12	1.74	8.15
81	2700	16975	542410036	1790022	0	0	0	0	143307204	473666	0	0	0	0	80	73	1.3503835616438356	9.07	3.79	5.66
100	2814	21364	824363004	2771048	0	0	0	0	217375128	731564	0	0	0	0	99	85	11.11344705882353	3.35	3.05	4.32
121	3291	25808	1783028272	5921456	0	8	0	0	465406216	1546676	0	7	0	0	120	107	13.5066168224299	16.46	6.9	4.94
144	4155	30267	4304188316	13843560	0	4635	0	0	1114842548	3587737	0	1468	0	0	143	132	54.879560606060636	13.68	7.31	5.43
169	13502	36524	6483924184	20549788	0	17463	0	0	1672634422	5307127	0	2790	0	0	168	151	120.29956291390724	32.17	14.99	8.49
196	9392	46254	5836683500	18708376	0	33394	0	0	1490960090	4796243	0	7969	0	0	195	135	190.6890074074074	52.57	23.67	12.92
225	11154	50561	4393313900	14406916	0	22258	0	0	1129926672	3721403	0	8551	0	0	224	156	175.45291772151901	61.73	29.19	17.35
256	6888	55181	297463396	1566331	0	0	0	0	79237240	414865	0	0	0	0	255	83	5.813289156626506	1.98	8.53	12.21
