node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	88	1584	0	20299933	82672	0	0	0	0	5566580	22692	0	0	0	0	200	189	5.808904761904761	5.79	1.77	1.26
49	66	1579	2000	21769765	88728	0	0	0	0	5949174	24262	0	0	0	0	200	200	5.49386	4.9	1.71	1.25
49	68	1581	4000	22143204	90954	0	0	0	0	5979324	24624	0	0	0	0	200	200	5.802960000000005	4.31	1.68	1.25
49	62	1579	6000	21392420	87470	0	0	0	0	5748358	23587	0	0	0	0	200	200	5.557520000000002	3.72	1.64	1.24
49	70	1580	8000	24446102	101807	0	2	0	0	6836779	28502	0	0	0	0	200	200	5.9027299999999965	2.98	1.58	1.22
49	64	1580	10000	22735140	96422	0	1	0	0	6089691	25930	0	0	0	0	200	200	5.709624999999996	2.32	1.5	1.2
49	60	1577	12000	24048923	98809	0	1	0	0	6466183	26631	0	0	0	0	200	200	6.098989999999998	1.88	1.45	1.19
49	63	1579	14000	23504348	98128	0	0	0	0	6493265	27173	0	0	0	0	200	200	5.895995000000002	3.75	1.92	1.35
49	68	1584	16000	23758661	100814	0	0	0	0	6414412	27345	0	0	0	0	200	200	6.074760000000001	3.68	2.04	1.41
49	65	1584	18000	24337464	101402	0	0	0	0	6624909	27697	0	0	0	0	200	200	5.9825149999999985	2.5	1.89	1.37
49	56	1580	20000	23506351	100801	0	1	0	0	6656758	28560	0	0	0	0	200	200	5.778810000000002	1.71	1.75	1.34
49	65	1580	22000	23831636	102906	0	1	0	0	6437597	27959	0	0	0	0	200	200	5.967849999999999	1.03	1.58	1.3
49	57	1580	24000	22487381	97720	0	2	0	0	6069869	26511	0	0	0	0	200	200	5.8004349999999985	0.84	1.48	1.27
49	61	1580	26000	25351794	107852	0	0	0	0	6906694	29502	0	0	0	0	200	200	6.231999999999998	0.59	1.35	1.23
49	61	1580	28000	27203162	114947	0	0	0	0	7706357	32575	0	0	0	0	200	200	5.749760000000004	0.33	1.2	1.19
49	61	1579	30000	24833308	109504	0	0	0	0	7066010	31166	0	0	0	0	200	200	6.3228550000000014	0.24	1.08	1.15
49	65	1578	32000	23812927	106032	0	1	0	0	6448260	28866	0	0	0	0	200	200	6.354274999999998	0.28	0.98	1.11
49	69	1583	34000	23909474	105867	0	0	0	0	6406601	28553	0	0	0	0	200	200	5.992100000000002	0.21	0.87	1.06
49	70	1583	36000	23570610	103612	0	0	0	0	6376131	28190	0	0	0	0	200	200	6.115539999999999	0.1	0.76	1.02
49	62	1576	38000	21535676	97558	0	0	0	0	5848229	26707	0	0	0	0	200	200	5.710254999999998	0.22	0.7	0.98
49	65	1580	40000	21552623	97162	0	0	0	0	5946121	26948	0	0	0	0	200	200	5.673244999999996	0.18	0.62	0.94
49	59	1579	42000	24717160	111087	0	1	0	0	6785061	30662	0	0	0	0	200	200	5.95327	0.16	0.54	0.89
49	63	1579	44000	24992233	113545	0	2	0	0	6763660	30936	0	0	0	0	200	200	6.202570000000003	0.39	0.52	0.87
49	63	1584	46000	23665105	107846	0	0	0	0	6508352	29830	0	0	0	0	200	200	6.009355000000002	0.33	0.48	0.84
49	62	1581	48000	23327343	106890	0	0	0	0	6542542	30038	0	0	0	0	200	200	5.974779999999999	0.36	0.45	0.8
49	67	1580	50000	22687307	105679	0	1	0	0	6249054	29285	0	0	0	0	200	200	5.60732	0.22	0.39	0.76
49	63	1585	52000	23004003	106250	0	0	0	0	6272462	29184	0	0	0	0	200	200	5.747649999999997	0.33	0.38	0.73
49	69	1584	54000	25380272	115672	0	1	0	0	6952099	31895	0	0	0	0	200	200	6.019514999999999	0.44	0.4	0.72
49	63	1581	56000	24235762	112943	0	2	0	0	6510021	30632	0	0	0	0	200	200	6.040065000000003	0.16	0.33	0.67
49	68	1585	58000	23592267	111859	0	0	0	0	6477734	30903	0	0	0	0	200	200	6.047394999999999	0.46	0.35	0.65
