node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	300611	1585	45920006	202306	0	0	0	0	12693944	56434	0	0	0	0	48	48	5.894416666666667	0.06	1.94	3.08
64	300786	1758	79648326	306394	0	0	0	0	22349564	86065	0	0	0	0	63	63	5.909126984126985	0.01	0.89	2.31
81	300990	1945	127219941	444297	0	0	0	0	35179465	123230	0	0	0	0	80	80	7.636412500000001	0.04	0.79	1.93
100	301200	2167	161360010	566159	0	0	0	0	42601401	150704	0	0	0	0	99	99	6.115868686868687	0.21	1.18	1.94
121	301445	2505	232580927	780102	0	0	0	0	61764054	208618	0	0	0	0	120	120	11.647916666666667	0.69	1.59	2.07
144	301697	2790	276091599	955969	0	0	0	0	72348918	251585	0	0	0	0	143	143	8.67598601398601	0.04	1.38	2.06
169	301978	3042	366362261	1193561	0	0	0	0	96742097	315953	0	0	0	0	168	168	10.091559523809526	0.57	1.72	2.29
196	302291	3459	439627509	1424690	0	0	0	0	114629896	372536	0	0	0	0	195	195	8.907297435897437	0.14	1.92	2.56
225	302649	3903	574382424	1786466	0	0	0	0	149494855	466241	0	0	0	0	224	224	10.774330357142855	0.44	2.79	3.3
256	302954	4203	771035705	2295908	0	0	0	0	198629896	592798	0	0	0	0	255	255	13.575345098039215	0.7	3.84	4.34
289	303372	4600	1014023245	2707827	0	0	0	0	270037077	719465	0	0	0	0	288	288	11.751086805555566	0.08	3.13	4.44
