node_count	time_ms	step_distance_m	n	packets_arrived_pc	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms
50	19150	50	0	100.0	39700625	172623	0	0	0	0	5451359	23714	0	0	0	0	200	200	5.837690000000001
50	19163	50	1	100.0	52703192	226409	0	49917	0	0	4947223	22160	0	650	0	0	200	200	5.011299999999999
50	19177	50	2	100.0	219996044	2025759	0	747392	0	0	7903800	48454	0	2268	0	0	200	200	4.645229999999999
50	19172	50	3	100.0	57724968	304600	0	56345	0	0	5731075	26515	0	464	0	0	200	200	4.717410000000002
50	19170	50	4	100.0	108534773	929979	0	143070	0	0	3319546	16548	0	341	0	0	200	200	2.9369849999999995
50	19173	50	5	100.0	36699470	163730	0	0	0	0	4970117	22183	0	0	0	0	200	200	4.128085000000003
50	19179	100	0	95.5	602752505	5906558	0	610681	0	0	9608116	63205	0	2367	0	0	200	191	4.077534031413614
50	19992	100	1	62.5	207251999	1753000	0	657292	0	0	7223633	48003	0	2689	0	0	200	125	18.815792000000013
50	19854	100	2	76.0	270539890	2603785	0	471938	0	0	6658805	40123	0	2567	0	0	200	152	7.158138157894734
50	20127	100	3	81.0	584858607	6166114	0	1721747	0	0	9901751	80898	0	14152	0	0	200	162	8.121197530864194
50	20080	100	4	98.0	209918697	1769509	0	717820	0	0	6913998	35665	0	1738	0	0	200	196	4.360362244897957
50	19174	100	5	99.5	265910280	2274397	0	731950	0	0	6041694	31534	0	1980	0	0	200	199	3.772180904522616
50	19897	150	0	50.5	313333965	2300085	0	470078	0	0	7217722	39769	0	1358	0	0	200	101	4.061138613861388
50	20159	200	0	0.0	1090255419	11034736	0	2449195	0	0	16460269	142635	0	12579	0	0	200	0	0.0
50	20122	200	1	15.0	658895752	5651747	0	2105278	0	0	7794082	51316	0	7330	0	0	200	30	4.602033333333334
50	20156	200	2	0.0	1366639800	14593358	0	4166842	0	0	20037502	180934	0	28684	0	0	200	0	0.0
50	20243	200	3	39.5	677533166	6207894	0	2594311	0	0	8712983	58768	0	10255	0	0	200	79	5.1048624999999985
50	20145	250	0	35.0	982337438	8832061	0	2298189	0	0	12933437	90009	0	9482	0	0	200	70	13.444999999999997
50	20160	250	1	6.0	1141853987	11482878	0	6212293	0	0	18212842	158612	0	49750	0	0	200	12	4.255416666666667
50	20155	300	0	4.0	1373054505	14048959	0	4273767	0	0	20627227	176870	0	27578	0	0	200	8	4.560375
50	20159	300	1	9.5	1000742182	10165062	0	3319416	0	0	11606610	102278	0	17363	0	0	200	19	3.653263157894737
50	20169	300	2	17.5	669464371	6163489	0	1122856	0	0	12194794	90347	0	4886	0	0	200	35	4.5616
50	20166	300	3	6.0	671270291	6332275	0	2435096	0	0	9643613	75837	0	10347	0	0	200	12	5.990916666666666
50	20131	300	4	28.000000000000004	554436906	5097506	0	2092869	0	0	15120418	118012	0	14565	0	0	200	56	58.95007142857144
50	20157	300	5	7.5	1452009125	14617778	0	6430093	0	0	29274373	258993	0	74580	0	0	200	15	5.692733333333333
