station_count	satellite_count	sim_time_sec	real_time_sec	packets_send	packets_received	rtt_avg_ms
6	90	0	150.333	20	20	7.071599999999999
6	90	300	300.666	20	20	8.3472
6	90	600	451.706	20	14	8.958357142857142
6	90	900	602.341	20	13	7.57076923076923
6	90	1200	753.668	20	18	6.9111111111111105
6	90	1500	903.914	20	18	7.437999999999999
6	90	1800	1054.455	20	17	8.437411764705883
6	90	2100	1205.497	20	16	8.6921875
6	90	2400	1356.055	20	17	6.957941176470589
6	90	2700	1506.588	20	15	7.198933333333333
6	90	3000	1657.828	20	14	8.719928571428571
6	90	3300	1808.657	20	16	8.188625
6	90	3600	1959.202	20	18	7.663666666666665
6	90	3900	2110.527	20	16	8.2315
6	90	4200	2261.065	20	16	7.736812499999999
6	90	4500	2411.693	20	18	8.047444444444444
6	90	4800	2562.747	20	16	8.010687500000001
6	90	5100	2713.328	20	17	8.091823529411766
6	90	5400	2863.863	20	16	7.163437500000001
6	90	5700	3014.91	20	17	7.610352941176469
6	90	6000	3165.637	20	17	7.3604705882352945
6	90	6300	3316.722	20	19	7.11257894736842
6	90	6600	3467.435	20	14	6.6334285714285715
6	90	6900	3618.482	20	17	6.795058823529412
