node_count	software_startup_ms	traffic_measurement_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	1590	300643	46576507	411836	0	0	0	0	6874483	60939	0	0	0	0	49	49	8.14136734693878	0.06	5.94	19.29
64	1758	300816	65021417	567726	0	0	0	0	9398500	82233	0	0	0	0	64	64	8.676843749999998	0.16	0.47	6.22
81	1952	301046	84571987	736734	0	0	0	0	11940330	104492	0	0	0	0	81	81	8.589765432098766	0.28	0.65	2.67
100	2169	301252	112226464	959480	0	0	0	0	15740565	134564	0	0	0	0	100	100	9.187660000000005	5.77	4.34	3.29
121	2431	301535	140281951	1195563	0	0	0	0	19291894	165076	0	0	0	0	121	121	9.817768595041322	0.37	0.65	1.62
144	2716	301866	174661326	1478116	0	0	0	0	23875582	202620	0	0	0	0	144	144	10.197048611111114	0.5	1.01	1.65
169	3199	302152	214927437	1795538	0	0	0	0	29006958	243654	0	0	0	0	169	169	10.923011834319535	0.26	1.29	2.29
196	3391	302491	256691746	2113004	0	0	0	0	34519999	285369	0	0	0	0	196	196	11.608857142857147	0.01	0.67	1.74
225	3917	302869	311714859	2542367	0	0	0	0	41476119	340229	0	0	0	0	225	225	12.02452	3.56	2.23	2.45
256	4251	303260	363978405	2947781	0	0	0	0	48457986	393687	0	0	0	0	256	256	13.213894531249998	4.38	4.68	4.13
289	4646	303719	420827561	3379135	0	0	0	0	55564498	448302	0	0	0	0	289	289	13.449190311418688	0.11	2.0	4.51
324	4813	304301	493236927	3881327	0	0	0	0	65996183	517552	0	0	0	0	324	324	15.318481481481484	6.13	6.13	6.11
361	5775	304943	557645673	4416503	0	0	0	0	73201757	582220	0	0	0	0	361	361	14.93640997229917	0.15	1.33	3.97
400	6485	305701	623014351	4938126	0	0	0	0	81700917	649835	0	0	0	0	400	400	15.190692500000004	0.88	2.82	5.63
441	7410	306601	743297234	5704810	0	0	0	0	96976944	747659	0	0	0	0	441	441	18.216206349206356	0.71	2.03	5.03
484	7657	307537	821405364	6331534	0	0	0	0	106634648	826427	0	0	0	0	484	484	18.305272727272726	6.78	6.1	6.72
529	7877	308851	929982428	6985340	0	0	0	0	121648073	914549	0	0	0	0	529	529	20.092669187145564	5.71	6.23	8.75
576	9114	310961	457021584	4544505	0	0	0	0	59393751	590451	0	0	0	0	576	2	25.450499999999998	0.69	3.0	7.68
