node_count	software_startup_ms	traffic_measurement_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	1594	300628	8760009	42268	0	0	0	0	4420752	21375	0	0	0	0	50	50	13.812439999999997	0.0	1.68	72.81
100	2153	301232	25934322	113583	0	0	0	0	13006639	57033	0	0	0	0	100	100	19.84809000000001	0.12	0.14	22.29
150	2719	301850	54255898	217188	0	0	0	0	27171575	108866	0	0	0	0	150	150	26.713666666666676	0.25	0.26	7.1
200	3294	302535	112113607	397492	0	0	0	0	56102324	199036	0	0	0	0	200	199	39.91383417085427	0.0	0.42	3.21
250	3868	303093	183291953	595922	0	0	0	0	91693974	298277	0	0	0	0	250	244	51.51902049180329	1.27	1.0	1.88
300	4461	303916	234522470	727249	0	0	0	0	117312560	363968	0	0	0	0	300	286	55.33417832167832	1.24	1.61	2.52
350	5066	304756	331927658	967349	0	0	0	0	166018584	484050	0	0	0	0	350	323	66.26648916408662	0.18	0.54	1.63
400	5722	305693	405394006	1097210	0	0	0	0	202751059	548946	0	0	0	0	400	330	76.45900606060607	1.43	1.42	2.67
450	6387	306824	564867322	1563681	0	0	0	0	282496093	782257	0	0	0	0	450	408	87.41407107843133	0.82	1.93	3.31
500	7038	307924	729550757	1870508	0	0	0	0	364847679	935672	0	0	0	0	500	402	106.75491044776116	3.96	3.51	4.43
550	7736	309230	711869047	1731238	0	0	0	0	355983604	866009	0	0	0	0	550	373	109.74508847184978	2.67	2.7	4.49
600	8435	310842	946776758	2392228	0	0	0	0	473453339	1196586	0	0	0	0	600	502	111.15858366533857	1.19	2.45	4.85
650	9170	311997	1073239606	2659337	0	0	0	0	536681918	1330113	0	0	0	0	650	534	122.06616104868914	0.93	2.7	5.41
700	9922	313965	1161869531	2804146	0	0	0	0	581002590	1402523	0	0	0	0	700	504	132.5161527777778	1.65	3.25	5.58
750	10723	315660	1335469038	3173076	0	0	0	0	667825579	1587026	0	0	0	0	750	571	136.2658684210528	4.13	4.44	7.96
800	12154	317096	1413404169	3363184	0	0	0	0	706763230	1682060	0	0	0	0	800	556	143.33838848920868	4.76	5.19	8.06
850	12788	320520	1314453647	3155730	0	0	0	0	657260535	1578320	0	0	0	0	850	562	125.77020106761566	4.86	4.63	8.93
900	14979	325873	1820688957	4095355	0	0	0	0	910384588	2048155	0	0	0	0	900	594	170.22663131313138	5.67	5.33	8.36
950	15617	329765	1656741203	3885647	0	0	0	0	828407177	1943323	0	0	0	0	950	638	130.6668840125393	4.9	11.54	16.02
1000	18899	333838	2049905956	4603971	0	0	0	0	1025025974	2302518	0	0	0	0	1000	648	146.00253560371522	5.66	15.63	23.82
1050	19885	336280	1720066573	4062222	0	0	0	0	860070230	2031578	0	0	0	0	1050	608	134.08063920922578	6.71	11.16	21.31
