node_count	software_startup_ms	traffic_measurement_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	1598	300654	7104444	36689	0	0	0	0	2784493	15099	0	0	0	0	50	50	8.838099999999999	0.01	0.68	6.05
100	2173	301273	15776586	79393	0	0	0	0	5839631	31087	0	0	0	0	100	100	9.167	0.33	0.39	2.3
150	2748	301927	28098093	137511	0	0	0	0	9634506	50321	0	0	0	0	150	150	9.989273333333331	0.19	0.22	1.02
200	3320	302581	36790976	179020	0	0	0	0	12474995	65264	0	0	0	0	200	200	9.402364999999998	0.65	0.38	0.91
250	3906	303187	48287120	234633	0	0	0	0	16438449	85329	0	0	0	0	250	250	9.906615999999996	0.58	2.15	2.15
300	4494	303815	61348870	290297	0	0	0	0	20271212	103693	0	0	0	0	300	300	10.282400000000006	0.06	0.35	1.31
350	5096	304684	73691327	349923	0	0	0	0	24509840	124954	0	0	0	0	350	350	10.721065714285707	0.04	0.4	1.38
400	5703	305686	88353562	411948	0	0	0	0	28186116	142716	0	0	0	0	400	400	10.577077499999996	0.2	1.44	3.41
450	6359	306778	105829981	489802	0	0	0	0	31376956	159492	0	0	0	0	450	450	10.560059999999995	0.12	1.04	2.62
500	7057	307872	112006366	520643	0	0	0	0	34626798	175816	0	0	0	0	500	500	10.37137800000001	0.5	2.16	3.65
550	7775	309184	127511319	597685	0	0	0	0	38457310	196745	0	0	0	0	550	550	10.619205454545456	0.11	0.92	2.64
600	8416	310734	141571866	662875	0	0	0	0	41583413	213714	0	0	0	0	600	600	10.706553333333332	0.34	1.64	4.36
650	9228	312110	151859881	706883	0	0	0	0	47738814	241399	0	0	0	0	650	650	11.139826153846153	0.51	4.14	6.25
700	10003	313746	169757879	772731	0	0	0	0	51836226	258949	0	0	0	0	700	700	11.39933999999999	0.43	1.69	5.01
750	10863	315665	193985511	878906	0	0	0	0	58429745	290506	0	0	0	0	750	750	12.02196000000001	2.63	2.95	6.99
800	11758	318180	186439409	881055	0	0	0	0	56583145	292068	0	0	0	0	800	800	10.98113375000001	2.43	6.55	10.51
850	12633	321981	217924649	990909	0	0	0	0	62707010	316301	0	0	0	0	850	850	11.311925882352957	2.24	1.69	5.2
900	15111	327029	228777773	1045092	0	0	0	0	67357565	340249	0	0	0	0	900	900	11.676682222222226	2.4	6.67	10.65
950	16919	332176	246329701	1121844	0	0	0	0	71289727	360879	0	0	0	0	950	950	11.57676210526315	8.91	2.89	5.56
1000	19179	337256	272382007	1252514	0	0	0	0	79492198	402659	0	0	0	0	1000	1000	12.541269539078161	2.47	3.29	7.88
1050	20832	340616	286992011	1304201	0	0	0	0	80334562	407925	0	0	0	0	1050	1050	11.916408960915156	2.69	7.6	12.61
1100	21536	344348	308025712	1418056	0	0	0	0	86043579	439811	0	0	0	0	1100	1100	12.35978	2.72	3.61	10.43
1150	21850	347745	331801442	1490564	0	0	0	0	94505227	472277	0	0	0	0	1150	1150	12.856782608695646	2.45	2.26	6.1
1200	23537	352933	341723650	1555817	0	0	0	0	95465383	485813	0	0	0	0	1200	1199	12.478606844741217	2.78	7.89	13.1
1250	23751	357671	361646627	1645919	0	0	0	0	100895498	512482	0	0	0	0	1250	1250	12.660066399999995	4.15	8.71	15.51
1300	23351	361792	373070476	1663906	0	0	0	0	110576945	547959	0	0	0	0	1300	1299	13.121994590417303	4.32	12.82	25.62
1350	24044	367480	397816396	1780859	0	0	0	0	115579311	576168	0	0	0	0	1350	1347	13.242785714285704	5.08	4.57	13.0
1400	24921	370700	405627289	1833329	0	0	0	0	117978352	593498	0	0	0	0	1400	1400	13.052830593280902	3.49	8.62	15.82
1450	28186	376897	443439232	2008828	0	0	0	0	122620587	621426	0	0	0	0	1450	1450	13.264369475138112	4.98	9.22	16.93
1500	30521	382443	437840447	2019778	0	0	0	0	126096081	647903	0	0	0	0	1500	1485	13.206204453441305	13.2	11.41	19.05
1550	29613	389257	487111330	2157553	0	0	0	0	143018548	708640	0	0	0	0	1550	1521	13.93492631578949	4.81	14.84	24.8
1600	32784	393733	506442444	2261429	0	0	0	0	146538896	732093	0	0	0	0	1600	1591	13.323266372795995	4.55	9.73	21.27
1650	35029	401974	534302638	2401541	0	0	0	0	154372025	779330	0	0	0	0	1650	1645	12.801641945288761	9.74	11.57	22.69
1700	38603	409781	519525999	2370582	0	0	0	0	156771652	798461	0	0	0	0	1700	1532	13.12778403141362	7.57	14.19	24.49
1750	41961	418067	537707563	2517372	0	0	0	0	162707710	842207	0	0	0	0	1750	1748	12.730963855421685	6.73	10.5	22.92
1800	45576	427543	588231699	2729801	0	0	0	0	171877847	890743	0	0	0	0	1800	1796	12.60155754189945	7.1	11.14	25.0
1850	48262	437719	585932345	2759791	0	0	0	0	176094466	922829	0	0	0	0	1850	1841	12.410149945474387	6.99	14.97	30.7
1900	50844	444454	701879541	3157653	0	0	0	0	197500868	1000376	0	0	0	0	1900	1895	13.448808139534922	32.82	18.36	29.9
