node_count	software_startup_ms	traffic_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	1587	10223	10967156	55489	0	0	0	0	1698534	8514	0	0	0	0	48	48	8.247249999999998	2.99	20.74	25.62
64	1756	13400	16597998	85774	0	0	0	0	2367321	12271	0	0	0	0	63	63	8.702412698412697	0.79	10.49	20.33
81	1950	17000	26024507	137042	0	0	0	0	3731827	19594	0	0	0	0	80	80	9.540124999999994	3.45	7.62	16.77
100	2201	21018	34705612	183820	0	0	0	0	4726796	25190	0	0	0	0	99	99	9.579555555555553	11.21	9.19	14.85
121	2411	25476	47393850	254444	0	0	0	0	6502784	34997	0	0	0	0	120	120	10.09659166666667	1.54	6.86	12.48
144	2710	30351	76822326	412235	0	0	0	0	11392345	60424	0	0	0	0	143	143	12.511643356643356	1.0	4.83	10.07
169	2974	35623	105219962	566828	0	0	0	0	15340192	81892	0	0	0	0	168	168	14.082369047619046	1.03	4.83	8.67
196	3564	41347	112046830	626276	0	0	0	0	14810401	83204	0	0	0	0	195	195	12.419143589743593	0.7	5.05	7.81
225	3866	47471	167029141	929022	0	0	0	0	21966407	122875	0	0	0	0	224	224	14.95716071428572	1.34	5.1	7.19
256	4191	53985	209493752	1180680	0	0	0	0	28717295	161059	0	0	0	0	255	255	16.513325490196067	4.95	7.31	7.85
289	4564	60976	245456994	1385234	0	0	0	0	32155093	182439	0	0	0	0	288	288	16.252534722222222	6.34	7.54	8.07
324	5190	68417	312204889	1772741	0	0	0	0	41029023	233916	0	0	0	0	323	323	17.977631578947364	7.69	10.21	10.02
361	5324	76315	383142363	2144253	0	0	0	0	51843285	288635	0	0	0	0	360	360	19.884111111111096	0.4	8.24	10.34
400	6074	84676	454818783	2597788	0	0	0	0	61060947	347121	0	0	0	0	399	399	21.652754385964926	0.27	6.75	9.9
441	6766	93480	544047693	3128831	0	0	0	0	71370846	410508	0	0	0	0	440	440	22.59244090909091	12.64	22.02	17.71
484	7504	102707	712320715	4041541	0	0	0	0	92912781	528155	0	0	0	0	483	483	28.001975155279528	8.06	16.8	17.54
529	8121	112349	804439000	4620466	0	0	0	0	103729592	597496	0	0	0	0	528	528	24.238979166666663	6.43	10.35	14.53
576	9103	123438	205681338	1912833	0	0	0	0	26764586	248558	0	0	0	0	575	13	27.757769230769227	3.54	13.44	16.46
