node_count	software_startup_ms	traffic_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	1591	10421	11087413	43986	0	0	0	0	5597005	22218	0	0	0	0	49	49	14.719367346938771	6.91	49.6	50.46
100	2155	21002	47434837	184988	0	0	0	0	23828490	92954	0	0	0	0	99	99	25.100535353535363	1.6	22.92	39.18
150	2717	31595	110109234	422159	0	0	0	0	55222303	211780	0	0	0	0	149	149	36.028530201342285	0.65	9.94	29.14
200	3286	42204	202809676	753364	0	0	0	0	101633235	377620	0	0	0	0	199	199	50.43763819095475	2.08	7.05	22.07
250	3866	52714	339439792	1194015	0	0	0	0	170030746	598180	0	0	0	0	249	249	74.15004016064256	1.74	6.46	18.26
300	4464	63387	491969586	1729460	0	0	0	0	246346806	866118	0	0	0	0	299	299	83.93201337792638	4.99	8.23	17.03
350	5099	73976	695540611	2413568	0	0	0	0	348201656	1208395	0	0	0	0	349	349	102.30329799426946	3.54	8.48	15.6
400	5755	84874	935722175	3199526	0	0	0	0	468352577	1601568	0	0	0	0	399	399	124.59793734335844	6.39	10.1	15.0
450	6391	95487	1316875951	4239761	0	0	0	0	659077229	2121898	0	0	0	0	449	449	186.97982628062363	5.73	11.38	14.81
500	7102	106203	1619477814	5213192	0	0	0	0	810433242	2608821	0	0	0	0	499	499	193.18850100200387	5.61	11.66	14.53
550	8494	116901	1972832248	6309269	0	0	0	0	987167869	3157089	0	0	0	0	549	549	203.00981967213104	4.49	11.16	14.04
600	8860	128110	2646472923	7560871	0	0	0	0	1324200891	3783116	0	0	0	0	599	599	300.43693989983257	7.54	13.27	14.76
650	10301	138562	2986604987	8901874	0	0	0	0	1494278400	4453831	0	0	0	0	649	649	282.2026024653313	4.87	13.28	15.15
700	11612	149508	3400895446	10308365	0	0	0	0	1701407277	5157304	0	0	0	0	699	699	287.49422746781084	8.07	21.43	21.24
750	12675	160601	4168225068	11819275	0	0	0	0	2085289658	5913024	0	0	0	0	749	749	331.9393831775699	7.56	16.58	20.28
800	13513	172213	12712431754	22231966	0	0	0	0	6357029557	11117213	0	0	0	0	799	1	3.298	7.07	14.77	19.09
