node_count	software_startup_ms	traffic_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	1601	10425	1759640	7155	0	0	0	0	487622	2074	0	0	0	0	49	49	6.098653061224489	2.34	17.53	21.4
100	2173	21026	4900082	20571	0	0	0	0	1303616	5784	0	0	0	0	99	99	6.437979797979797	0.31	7.71	16.34
150	2741	31606	10679386	44245	0	0	0	0	2771518	12215	0	0	0	0	149	149	7.225530201342283	0.21	3.64	12.25
200	3321	42196	14119568	59967	0	0	0	0	3683805	16790	0	0	0	0	199	199	6.967693467336684	0.48	2.93	9.46
250	3895	52741	22016948	90910	0	0	0	0	5789531	25776	0	0	0	0	249	249	7.626987951807223	0.13	2.2	7.18
300	4470	63281	26348711	111795	0	0	0	0	6901954	31882	0	0	0	0	299	299	7.422826086956525	0.24	2.44	5.92
350	5073	73957	39183225	163351	0	0	0	0	10377380	46800	0	0	0	0	349	349	8.43778796561605	1.06	4.96	7.07
400	5676	84642	37767494	166457	0	0	0	0	10186446	49073	0	0	0	0	399	399	7.4053934837092745	0.37	3.86	6.53
450	6353	95323	52806720	223208	0	0	0	0	13571558	63233	0	0	0	0	449	449	8.219933184855229	0.21	3.12	5.98
500	7041	106063	49757573	223622	0	0	0	0	13611176	67312	0	0	0	0	499	499	7.437507014028052	3.08	3.55	5.9
550	7748	116774	61852257	275262	0	0	0	0	16300783	80558	0	0	0	0	549	549	7.767564663023684	2.37	7.2	8.58
600	8437	127585	72081186	322622	0	0	0	0	18622876	92863	0	0	0	0	599	599	7.848494156928216	2.62	6.23	9.03
650	9174	138384	72416179	326746	0	0	0	0	21202436	105273	0	0	0	0	649	649	7.913126348228041	1.2	3.39	7.42
700	9948	149179	98052934	428852	0	0	0	0	25747620	126184	0	0	0	0	699	698	8.662769340974203	0.37	3.04	7.21
750	10763	160157	98242742	440863	0	0	0	0	28153420	139648	0	0	0	0	749	748	8.400592245989307	0.95	5.45	9.11
800	11696	171183	99858988	466023	0	0	0	0	28700345	148493	0	0	0	0	799	799	7.89718648310388	2.33	6.31	11.56
850	12891	182350	123620834	575638	0	0	0	0	34817816	181160	0	0	0	0	849	849	7.935753828032975	2.51	12.15	15.09
900	13809	195049	140943185	639925	0	0	0	0	40266371	204724	0	0	0	0	899	895	8.31408826815642	2.93	4.18	11.16
950	16464	209897	163587096	738441	0	0	0	0	44707998	228122	0	0	0	0	949	947	8.640550158394928	2.82	2.6	7.29
1000	18981	222659	171295536	781538	0	0	0	0	50036782	254293	0	0	0	0	999	998	8.846151302605202	1.04	11.39	13.98
1050	20291	234901	193258394	884029	0	0	0	0	52191613	270905	0	0	0	0	1049	1046	8.78373135755258	3.74	11.16	15.18
1100	19878	246633	233287289	1040711	0	0	0	0	60476839	309508	0	0	0	0	1099	1097	9.448844120328157	4.09	14.46	18.18
1150	21009	258002	216373239	981029	0	0	0	0	63085577	322470	0	0	0	0	1149	1148	9.03675174216029	3.34	3.5	9.41
1200	22427	269817	263127084	1173169	0	0	0	0	69135098	353623	0	0	0	0	1199	1195	9.655386610878665	2.42	9.07	12.44
1250	25664	281390	250728095	1147598	0	0	0	0	70043250	364030	0	0	0	0	1249	1227	9.169494702526496	6.75	11.6	17.61
1300	25921	293008	228772933	1115625	0	0	0	0	72515755	388999	0	0	0	0	1299	1297	8.798557440246723	3.3	10.62	17.78
1350	23884	304457	257629063	1210622	0	0	0	0	80041950	419616	0	0	0	0	1349	1335	8.969307116104874	4.39	10.28	16.34
1400	24841	315657	273069052	1299351	0	0	0	0	84970571	450570	0	0	0	0	1399	1392	8.931533764367817	3.62	10.83	18.48
1450	27767	327003	305618037	1442396	0	0	0	0	90322980	479289	0	0	0	0	1449	1422	9.313058368495064	11.29	14.7	24.68
1500	28556	338773	314390573	1494061	0	0	0	0	96492350	513167	0	0	0	0	1499	1491	9.22871160295104	6.9	11.41	19.84
1550	30561	350011	328828557	1559890	0	0	0	0	104115394	548798	0	0	0	0	1549	1527	9.459204322200401	13.25	16.3	36.25
1600	32221	361820	332447159	1602346	0	0	0	0	104462557	561461	0	0	0	0	1599	1591	9.013131363922056	6.52	10.6	20.57
1650	35067	373655	338737845	1656206	0	0	0	0	107794018	586022	0	0	0	0	1649	1611	8.880296089385478	4.8	10.45	20.3
1700	38534	385667	377962824	1863119	0	0	0	0	122599062	666556	0	0	0	0	1699	1692	9.162152482269502	6.18	15.83	26.0
1750	41076	398802	422879691	2011010	0	0	0	0	135970211	723223	0	0	0	0	1749	1593	9.855757062146894	7.0	12.25	28.38
1800	45888	410131	439951340	2103394	0	0	0	0	140534396	753146	0	0	0	0	1799	1782	8.852714365881047	4.51	15.6	30.96
1850	48063	422332	429662155	2110076	0	0	0	0	140926231	767881	0	0	0	0	1849	1822	8.860655872667389	26.29	20.22	34.3
1900	51202	434603	515968084	2427822	0	0	0	0	158327979	838843	0	0	0	0	1899	1887	9.517594594594604	5.91	15.49	37.63
1950	53388	447429	489972991	2453006	0	0	0	0	156266477	868113	0	0	0	0	1949	1942	8.901547373841398	14.9	16.33	33.36
2000	55323	459331	546681793	2665308	0	0	0	0	173256994	945276	0	0	0	0	1999	1995	9.633221052631566	7.02	15.53	31.75
2050	57026	471217	548588054	2632277	0	0	0	0	169786979	921739	0	0	0	0	2049	1855	9.620889068389879	10.63	14.97	28.77
2100	59253	484131	671885561	2933737	0	0	0	0	203178679	1020199	0	0	0	0	2099	1569	9.392604325699743	8.48	7.37	20.48
2150	61247	496607	820440479	3063611	0	0	0	0	241489983	1065574	0	0	0	0	2149	1196	8.618530391340544	13.3	8.2	19.06
