node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	duration_ms	rtt_avg_ms	load1	load5	load15
50	158	881	0	119828	1194	0	0	0	0	60812	606	0	0	0	0	200	0	2000	0	0.52	0.30	0.29
50	177	943	2000	279938	2505	0	0	0	0	142474	1277	0	0	0	0	200	0	2001	0	0.52	0.30	0.30
50	170	910	4000	397704	3774	0	0	0	0	201286	1913	0	0	0	0	200	0	2000	0	0.44	0.29	0.29
50	171	907	6000	510026	4951	0	0	0	0	258372	2512	0	0	0	0	200	0	2000	0	0.45	0.30	0.29
50	155	906	8000	638722	6265	0	0	0	0	323602	3179	0	0	0	0	200	0	2000	0	0.50	0.32	0.30
50	179	923	10000	802206	7919	0	0	0	0	406128	4016	0	0	0	0	200	0	2001	0	0.39	0.30	0.29
50	155	914	12000	940640	9218	0	0	0	0	476206	4679	0	0	0	0	200	0	2000	0	0.42	0.31	0.30
50	156	944	14000	1134094	11103	0	0	0	0	574232	5638	0	0	0	0	200	0	2000	0	0.30	0.29	0.29
50	154	943	16000	1346076	13014	0	0	0	0	681348	6598	0	0	0	0	200	0	2000	0	0.21	0.27	0.28
50	172	882	18000	1575570	15119	0	0	0	0	797384	7672	0	0	0	0	200	0	2000	0	0.36	0.30	0.29
50	176	936	20000	1816734	17205	0	0	0	0	919384	8734	0	0	0	0	200	0	2001	0	0.24	0.27	0.28
50	166	915	22000	2082648	19698	0	0	0	0	1053506	9995	0	0	0	0	200	0	2001	0	0.19	0.26	0.27
50	177	917	24000	2372766	22041	0	0	0	0	1200182	11181	0	0	0	0	200	0	2000	0	0.12	0.24	0.26
50	170	945	26000	2665348	24400	0	0	0	0	1348522	12385	0	0	0	0	200	0	2000	0	0.07	0.21	0.26
50	176	896	28000	3613130	31719	0	0	0	0	1825128	16076	0	0	0	0	200	3	2001	813	0.17	0.22	0.26
50	154	902	30000	4078092	35284	0	0	0	0	2059784	17864	0	0	0	0	200	68	2000	11	0.21	0.22	0.26
50	180	914	32000	4401116	37724	0	0	0	0	2222924	19114	0	0	0	0	200	85	2000	0	0.12	0.20	0.25
50	175	905	34000	4960076	41872	0	0	0	0	2504880	21194	0	0	0	0	200	90	2000	8	0.17	0.20	0.25
50	179	883	36000	5391988	44696	0	0	0	0	2722816	22620	0	0	0	0	200	101	2000	0	0.12	0.19	0.24
50	168	898	38000	5897702	48405	0	0	0	0	2978886	24507	0	0	0	0	200	107	2000	9	0.05	0.16	0.23
50	154	938	40000	6490376	52248	0	0	0	0	3277934	26447	0	0	0	0	200	112	2000	0	0.18	0.17	0.22
50	179	923	42000	7076760	56160	0	0	0	0	3574006	28431	0	0	0	0	200	121	2000	0	0.09	0.14	0.21
50	178	891	44000	7549438	59127	0	0	0	0	3813162	29935	0	0	0	0	200	128	2000	0	0.15	0.15	0.21
50	153	890	46000	8122982	63245	0	0	0	0	4102706	32013	0	0	0	0	200	130	2000	0	0.14	0.14	0.20
50	154	889	48000	8573138	66245	0	0	0	0	4332198	33559	0	0	0	0	200	132	2000	0	0.25	0.16	0.20
50	177	923	50000	9116916	68964	0	0	0	0	4606600	34920	0	0	0	0	200	132	2001	0	0.24	0.16	0.19
50	163	892	52000	9735366	73017	0	0	0	0	4919446	36983	0	0	0	0	200	136	2000	0	0.12	0.15	0.18
50	174	889	54000	10232416	75768	0	0	0	0	5170716	38358	0	0	0	0	200	139	2000	0	0.04	0.12	0.17
50	169	939	56000	11068472	81290	0	0	0	0	5593200	41172	0	0	0	0	200	143	2000	0	0.08	0.11	0.16
50	166	933	58000	11878444	86916	0	0	0	0	6002486	44025	0	0	0	0	200	158	2000	5	0.16	0.13	0.17
