node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	duration_ms	rtt_avg_ms	load1	load5	load15
49	161	531	0	176684	1945	0	2	0	0	52601	577	0	0	0	0	200	0	2001	0	0.99	0.96	1.08
49	160	537	2000	274086	2535	0	4	0	0	83553	764	0	0	0	0	200	0	2000	0	0.98	0.96	1.07
49	162	582	4000	915669	4120	0	4	0	0	267699	1221	0	0	0	0	200	0	2000	0	0.90	0.95	1.07
49	164	543	6000	1434274	5463	0	2	0	0	421642	1619	0	0	0	0	200	0	2000	0	0.92	0.95	1.07
49	165	537	8000	1493474	6075	0	0	0	0	439246	1799	0	0	0	0	200	0	2000	0	0.86	0.93	1.06
49	159	576	10000	2081390	10981	0	14	0	0	601884	3152	0	0	0	0	200	76	2000	0	1.07	0.97	1.07
49	176	585	12000	2476207	14259	0	2	0	0	711607	4064	0	0	0	0	200	161	2000	0	1.13	0.99	1.08
49	191	555	14000	2673647	15673	0	8	0	0	764778	4440	0	0	0	0	200	173	2000	0	1.24	1.02	1.09
49	196	561	16000	2803071	16760	0	2	0	0	804188	4767	0	0	0	0	200	198	2000	0	1.05	0.99	1.07
49	159	556	18000	2832989	17087	0	2	0	0	812886	4866	0	0	0	0	200	200	2000	0	0.91	0.96	1.06
49	159	552	20000	2926726	17737	0	8	0	0	840247	5055	0	0	0	0	200	200	2001	0	1.06	0.99	1.07
49	200	607	22000	3000099	18218	0	12	0	0	863556	5209	0	0	0	0	200	200	2041	0	1.23	1.03	1.08
49	192	697	24000	3120484	19010	0	4	0	0	892881	5394	0	0	0	0	200	200	2012	0	1.39	1.09	1.10
49	202	724	26000	3204960	19813	0	8	0	0	918929	5641	0	0	0	0	200	200	2000	0	1.20	1.08	1.09
49	246	581	28000	3265109	20519	0	6	0	0	936842	5847	0	0	0	0	200	200	2000	0	1.78	1.23	1.14
49	201	548	30000	3327673	20817	0	6	0	0	955486	5940	0	0	0	0	200	200	2000	0	3.96	2.00	1.41
49	204	615	32000	3380292	21570	0	2	0	0	972604	6176	0	0	0	0	200	200	2000	0	2.75	1.92	1.41
49	167	555	34000	3500101	22308	0	6	0	0	1010125	6414	0	0	0	0	200	200	2000	0	2.29	1.91	1.43
49	197	548	36000	3533159	22670	0	6	0	0	1014837	6474	0	0	0	0	200	200	2000	0	1.44	1.73	1.39
49	197	600	38000	3689842	23993	0	14	0	0	1060096	6857	0	0	0	0	200	200	2000	0	1.05	1.59	1.35
49	163	557	40000	3760126	24582	0	4	0	0	1082355	7045	0	0	0	0	200	200	2001	0	0.93	1.49	1.33
49	185	541	42000	3779024	24955	0	6	0	0	1090347	7175	0	0	0	0	200	200	2000	0	1.11	1.44	1.32
49	203	602	44000	3948482	26260	0	4	0	0	1135191	7517	0	0	0	0	200	200	2000	0	0.93	1.35	1.29
49	163	570	46000	4014560	26540	0	0	0	0	1155809	7607	0	0	0	0	200	200	2000	0	1.17	1.33	1.29
49	173	547	48000	4051258	26994	0	2	0	0	1167372	7750	0	0	0	0	200	200	2000	0	0.86	1.22	1.25
49	204	594	50000	4086000	27442	0	8	0	0	1178388	7889	0	0	0	0	200	200	2000	0	0.87	1.15	1.22
49	166	567	52000	4232442	28538	0	8	0	0	1220927	8208	0	0	0	0	200	200	2001	0	0.97	1.12	1.21
49	171	545	54000	4371624	29709	0	2	0	0	1256271	8504	0	0	0	0	200	200	2000	0	0.76	1.04	1.17
49	201	589	56000	4357624	29762	0	8	0	0	1256429	8552	0	0	0	0	200	200	2001	0	0.56	0.94	1.13
49	161	585	58000	4444024	30433	0	4	0	0	1282436	8754	0	0	0	0	200	200	2000	0	0.72	0.91	1.10
