node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	duration_ms	rtt_avg_ms	load1	load5	load15
50	198	509	0	99528	1103	0	2	0	0	53568	588	0	0	0	0	200	0	2000	0	0.30	0.17	0.18
50	154	535	2000	158559	1461	0	8	0	0	84637	773	0	0	0	0	200	0	2000	0	0.28	0.17	0.18
50	158	534	4000	270052	1870	0	12	0	0	140639	980	0	0	0	0	200	0	2000	0	0.39	0.19	0.19
50	153	514	6000	435418	2372	0	6	0	0	224080	1238	0	0	0	0	200	0	2000	0	0.36	0.19	0.19
50	153	526	8000	607222	2863	0	2	0	0	310001	1485	0	0	0	0	200	0	2000	0	0.35	0.20	0.19
50	153	528	10000	819526	3906	0	2	0	0	417199	2015	0	0	0	0	200	12	2000	0	0.27	0.19	0.18
50	155	527	12000	998657	5029	0	6	0	0	507023	2579	0	0	0	0	200	30	2000	0	0.21	0.18	0.18
50	158	538	14000	1228703	6682	0	2	0	0	623656	3416	0	0	0	0	200	36	2000	0	0.23	0.18	0.18
50	154	513	16000	1502163	9046	0	0	0	0	760718	4600	0	0	0	0	200	83	2001	0	0.16	0.17	0.18
50	154	516	18000	1966051	12865	0	6	0	0	993384	6514	0	0	0	0	200	123	2000	0	0.28	0.19	0.19
50	157	531	20000	2301054	15709	0	6	0	0	1161846	7943	0	0	0	0	200	158	2000	0	0.34	0.21	0.19
50	155	540	22000	2657557	18731	0	4	0	0	1340368	9456	0	0	0	0	200	185	2000	0	0.22	0.19	0.18
50	154	537	24000	2804664	19938	0	4	0	0	1414237	10062	0	0	0	0	200	194	2000	0	0.37	0.23	0.20
50	158	514	26000	2943782	21109	0	4	0	0	1484671	10655	0	0	0	0	200	200	2001	0	0.39	0.24	0.20
50	155	513	28000	2986896	21544	0	10	0	0	1506621	10875	0	0	0	0	200	200	2001	0	0.38	0.25	0.20
50	154	524	30000	3026108	21809	0	2	0	0	1527608	11018	0	0	0	0	200	200	2001	0	0.37	0.26	0.20
50	153	519	32000	3078217	22258	0	6	0	0	1553602	11244	0	0	0	0	200	200	2000	0	0.21	0.23	0.19
50	152	515	34000	3130982	22730	0	6	0	0	1580088	11480	0	0	0	0	200	200	2001	0	0.11	0.20	0.18
50	153	530	36000	3179224	23150	0	4	0	0	1604980	11697	0	0	0	0	200	200	2000	0	0.24	0.22	0.19
50	155	526	38000	3215661	23431	0	8	0	0	1623523	11841	0	0	0	0	200	200	2000	0	0.18	0.21	0.18
50	156	537	40000	3271509	23926	0	14	0	0	1651626	12090	0	0	0	0	200	200	2000	0	0.16	0.19	0.18
50	154	520	42000	3316778	24312	0	6	0	0	1674702	12287	0	0	0	0	200	200	2000	0	0.16	0.18	0.18
50	159	530	44000	3357606	24597	0	2	0	0	1696295	12438	0	0	0	0	200	200	2000	0	0.12	0.17	0.17
50	154	530	46000	3395708	24915	0	2	0	0	1715050	12596	0	0	0	0	200	200	2001	0	0.19	0.17	0.18
50	155	535	48000	3451238	25408	0	6	0	0	1743579	12848	0	0	0	0	200	200	2000	0	0.08	0.14	0.17
50	155	523	50000	3501951	25885	0	4	0	0	1769193	13090	0	0	0	0	200	200	2000	0	0.11	0.15	0.17
50	158	529	52000	3548885	26289	0	6	0	0	1793581	13299	0	0	0	0	200	200	2000	0	0.09	0.14	0.16
50	155	538	54000	3590079	26591	0	10	0	0	1814297	13452	0	0	0	0	200	200	2000	0	0.03	0.11	0.15
50	154	517	56000	3646094	27068	0	4	0	0	1842430	13692	0	0	0	0	200	200	2000	0	0.84	0.45	0.27
50	155	522	58000	3679953	27341	0	2	0	0	1860328	13836	0	0	0	0	200	200	2001	0	0.46	0.40	0.27
