node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	duration_ms	rtt_avg_ms	load1	load5	load15
50	163	4551	0	3321468	15765	0	618	0	0	1673296	7953	0	0	0	0	200	21	2000	62	0.93	0.60	0.58
50	158	5829	2000	4538492	21488	0	624	0	0	2283160	10827	0	0	0	0	200	30	2000	116	1.02	0.63	0.59
50	154	5225	4000	4986534	23762	0	625	0	0	2508938	11971	0	0	0	0	200	34	2000	34	0.93	0.63	0.59
50	154	4401	6000	6188160	28837	0	623	0	0	3112662	14530	0	0	0	0	200	38	2000	42	0.86	0.63	0.59
50	154	5060	8000	7709418	35369	0	629	0	0	3881382	17830	0	0	0	0	200	45	2000	66	1.05	0.68	0.61
50	155	4012	10000	8281730	38035	0	629	0	0	4167420	19163	0	0	0	0	200	47	2000	55	1.09	0.72	0.62
50	154	4077	12000	7763990	37276	0	625	0	0	3910916	18798	0	0	0	0	200	43	2000	59	0.93	0.70	0.62
50	154	4715	14000	10572502	47933	0	618	0	0	5314386	24129	0	0	0	0	200	52	2001	28	0.88	0.71	0.62
50	154	5802	16000	10823728	50182	0	622	0	0	5447880	25291	0	0	0	0	200	54	2001	38	0.98	0.75	0.64
50	153	4927	18000	12358688	57453	0	623	0	0	6209492	28898	0	0	0	0	200	59	2001	31	1.04	0.78	0.65
50	154	4394	20000	12366340	58040	0	628	0	0	6218544	29218	0	0	0	0	200	55	2034	18	0.98	0.79	0.66
50	154	4100	22000	13339130	62868	0	625	0	0	6701758	31625	0	0	0	0	200	62	2000	42	1.29	0.86	0.68
50	154	3935	24000	14168062	67084	0	625	0	0	7126786	33782	0	0	0	0	200	64	2001	30	0.96	0.83	0.68
50	155	4147	26000	16803578	77895	0	608	0	0	8446680	39206	0	0	0	0	200	68	2000	12	1.39	0.96	0.73
50	154	4161	28000	16137606	76730	0	596	0	0	8111012	38612	0	0	0	0	200	60	2000	28	1.00	0.91	0.72
50	156	4570	30000	14905574	75902	0	629	0	0	7506232	38247	0	0	0	0	200	51	2000	67	1.08	0.94	0.74
50	154	5228	32000	15964726	80193	0	650	0	0	8029392	40368	0	0	0	0	200	56	2001	57	1.54	1.05	0.78
50	155	4641	34000	19078598	92350	0	618	0	0	9596486	46497	0	0	0	0	200	71	2000	24	1.63	1.12	0.82
50	154	3925	36000	19775722	95446	0	619	0	0	9940500	48022	0	0	0	0	200	67	2000	15	1.26	1.08	0.82
50	155	4023	38000	22901604	109226	0	605	0	0	11511664	54945	0	0	0	0	200	70	2000	12	1.17	1.06	0.82
50	157	4283	40000	22878590	111423	0	637	0	0	11499758	56053	0	0	0	0	200	72	2000	24	1.25	1.09	0.85
50	153	5220	42000	25679638	123125	0	642	0	0	12896066	61886	0	0	0	0	200	78	2001	35	0.90	1.03	0.84
50	154	4299	44000	22478114	112097	0	638	0	0	11296182	56391	0	0	0	0	200	74	2000	8	1.07	1.09	0.87
50	154	4976	46000	26268788	128602	0	608	0	0	13200634	64680	0	0	0	0	200	74	2000	22	1.06	1.06	0.87
50	155	4894	48000	26746990	131358	0	615	0	0	13449340	66101	0	0	0	0	200	73	2055	44	0.83	0.99	0.86
50	154	4667	50000	27491864	136849	0	628	0	0	13831016	68904	0	0	0	0	200	73	2000	10	1.34	1.06	0.89
50	153	5284	52000	27760830	138093	0	607	0	0	13946068	69438	0	0	0	0	200	75	2001	20	0.93	1.00	0.88
50	154	4891	54000	29057410	145022	0	624	0	0	14601692	72929	0	0	0	0	200	68	2000	9	0.62	0.89	0.85
50	154	3741	56000	30169642	153017	0	620	0	0	15168342	76981	0	0	0	0	200	74	2000	6	0.74	0.87	0.85
50	155	4087	58000	33622710	166295	0	630	0	0	16885562	83583	0	0	0	0	200	74	2000	8	0.77	0.84	0.83
