node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	duration_ms	rtt_avg_ms	load1	load5	load15
49	207	109	0	163876	1870	0	0	0	0	47358	541	0	0	0	0	200	21	2000	0	1.48	1.72	1.75
49	156	119	2000	240682	2753	0	0	0	0	71172	814	0	0	0	0	200	21	2000	0	1.44	1.71	1.75
49	156	119	4000	249798	2883	0	0	0	0	73746	851	0	0	0	0	200	21	2000	0	1.33	1.68	1.74
49	157	118	6000	250564	2892	0	0	0	0	74090	855	0	0	0	0	200	21	2000	0	1.20	1.64	1.72
49	157	124	8000	249274	2877	0	0	0	0	73574	849	0	0	0	0	200	21	2000	0	0.93	1.56	1.70
49	156	120	10000	252388	2922	0	0	0	0	74656	864	0	0	0	0	200	21	2000	0	0.79	1.51	1.68
49	156	123	12000	260342	3035	0	0	0	0	76982	897	0	0	0	0	200	21	2000	0	0.64	1.43	1.65
49	156	117	14000	261632	3052	0	0	0	0	77348	902	0	0	0	0	200	21	2000	0	0.58	1.37	1.62
49	156	121	16000	261624	3052	0	0	0	0	77520	904	0	0	0	0	200	21	2000	0	0.58	1.32	1.60
49	160	120	18000	261202	3047	0	0	0	0	77176	900	0	0	0	0	200	21	2000	0	0.41	1.23	1.56
49	156	119	20000	261804	3054	0	0	0	0	77348	902	0	0	0	0	200	21	2000	0	0.27	1.13	1.52
49	156	125	22000	263246	3071	0	0	0	0	77950	909	0	0	0	0	200	21	2000	0	0.26	1.06	1.49
49	155	121	24000	262016	3058	0	0	0	0	77746	907	0	0	0	0	200	21	2000	0	0.37	1.00	1.45
49	157	120	26000	265452	3106	0	0	0	0	78484	918	0	0	0	0	200	21	2001	0	0.22	0.91	1.41
49	155	120	28000	269822	3169	0	0	0	0	79712	936	0	0	0	0	200	21	2000	0	0.21	0.83	1.36
49	157	121	30000	279956	3296	0	0	0	0	82944	976	0	0	0	0	200	21	2001	0	0.20	0.76	1.32
49	156	119	32000	273396	3220	0	0	0	0	80606	949	0	0	0	0	200	21	2000	0	0.11	0.67	1.27
49	153	117	34000	273306	3219	0	0	0	0	80692	950	0	0	0	0	200	21	2000	0	0.06	0.60	1.22
49	155	117	36000	273396	3220	0	0	0	0	80692	950	0	0	0	0	200	21	2001	0	0.10	0.54	1.17
49	157	116	38000	273134	3217	0	0	0	0	80692	950	0	0	0	0	200	21	2000	0	0.05	0.46	1.11
49	156	124	40000	273036	3216	0	0	0	0	80692	950	0	0	0	0	200	21	2000	0	0.02	0.40	1.06
49	156	118	42000	272954	3215	0	0	0	0	80692	950	0	0	0	0	200	21	2001	0	0.01	0.34	1.01
49	155	118	44000	273228	3218	0	0	0	0	80778	951	0	0	0	0	200	21	2000	0	0.08	0.30	0.96
49	155	119	46000	273462	3221	0	0	0	0	80950	953	0	0	0	0	200	21	2000	0	0.11	0.27	0.91
49	159	119	48000	273908	3226	0	0	0	0	81036	954	0	0	0	0	200	21	2000	0	0.05	0.23	0.87
49	154	118	50000	275636	3246	0	0	0	0	81380	958	0	0	0	0	200	21	2000	0	0.10	0.20	0.82
49	155	120	52000	274308	3232	0	0	0	0	81176	956	0	0	0	0	200	21	2000	0	0.08	0.18	0.78
49	155	122	54000	275006	3243	0	0	0	0	81284	958	0	0	0	0	200	21	2000	0	0.03	0.15	0.72
49	156	121	56000	276198	3261	0	0	0	0	81774	965	0	0	0	0	200	21	2001	0	0.06	0.13	0.68
49	156	119	58000	279504	3308	0	0	0	0	82528	976	0	0	0	0	200	21	2000	0	0.10	0.12	0.64
