node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	duration_ms	rtt_avg_ms	load1	load5	load15
50	189	106	0	90096	1048	0	0	0	0	46064	536	0	0	0	0	200	11	2000	0	1.17	1.13	1.07
50	157	117	2000	135568	1564	0	0	0	0	69516	802	0	0	0	0	200	11	2000	0	1.08	1.11	1.06
50	154	118	4000	140590	1637	0	0	0	0	72230	841	0	0	0	0	200	11	2000	0	1.15	1.12	1.06
50	153	121	6000	141188	1644	0	0	0	0	72574	845	0	0	0	0	200	11	2000	0	0.97	1.08	1.05
50	155	122	8000	140504	1636	0	0	0	0	72230	841	0	0	0	0	200	11	2000	0	0.82	1.05	1.04
50	153	123	10000	142014	1659	0	0	0	0	73124	854	0	0	0	0	200	11	2001	0	0.72	1.01	1.03
50	153	118	12000	146300	1720	0	0	0	0	75380	886	0	0	0	0	200	11	2001	0	0.64	0.98	1.02
50	154	119	14000	147626	1737	0	0	0	0	75816	892	0	0	0	0	200	11	2000	0	0.53	0.93	1.00
50	154	117	16000	147274	1733	0	0	0	0	75644	890	0	0	0	0	200	11	2000	0	0.38	0.87	0.98
50	153	119	18000	147622	1737	0	0	0	0	75816	892	0	0	0	0	200	11	2000	0	0.43	0.85	0.97
50	153	120	20000	147360	1734	0	0	0	0	75730	891	0	0	0	0	200	11	2001	0	0.36	0.79	0.95
50	154	119	22000	147892	1740	0	0	0	0	75816	892	0	0	0	0	200	11	2001	0	0.24	0.73	0.92
50	155	114	24000	147766	1739	0	0	0	0	75800	892	0	0	0	0	200	11	2000	0	0.16	0.67	0.89
50	153	119	26000	149066	1759	0	0	0	0	76538	903	0	0	0	0	200	11	2000	0	0.09	0.60	0.86
50	154	116	28000	152450	1807	0	0	0	0	78406	929	0	0	0	0	200	11	2000	0	0.13	0.55	0.84
50	154	118	30000	154210	1831	0	0	0	0	79004	938	0	0	0	0	200	11	2000	0	0.08	0.50	0.81
50	155	117	32000	154310	1833	0	0	0	0	79230	941	0	0	0	0	200	11	2000	0	0.10	0.46	0.78
50	158	116	34000	154048	1830	0	0	0	0	79144	940	0	0	0	0	200	11	2000	0	0.11	0.41	0.75
50	154	116	36000	154584	1836	0	0	0	0	79144	940	0	0	0	0	200	11	2000	0	0.29	0.41	0.74
50	153	116	38000	154306	1833	0	0	0	0	79316	942	0	0	0	0	200	11	2000	0	0.22	0.38	0.71
50	154	117	40000	154306	1833	0	0	0	0	79316	942	0	0	0	0	200	11	2000	0	0.24	0.35	0.69
50	152	116	42000	154408	1834	0	0	0	0	79058	939	0	0	0	0	200	11	2000	0	0.11	0.30	0.65
50	154	123	44000	154748	1838	0	0	0	0	79316	942	0	0	0	0	200	11	2000	0	0.26	0.30	0.63
50	154	115	46000	154838	1839	0	0	0	0	79316	942	0	0	0	0	200	11	2000	0	0.16	0.27	0.61
50	153	118	48000	153696	1826	0	0	0	0	79058	939	0	0	0	0	200	11	2000	0	0.18	0.26	0.58
50	152	115	50000	154220	1832	0	0	0	0	79230	941	0	0	0	0	200	11	2000	0	0.21	0.24	0.55
50	153	114	52000	154720	1838	0	0	0	0	79300	942	0	0	0	0	200	11	2000	0	0.15	0.22	0.53
50	153	114	54000	155180	1844	0	0	0	0	79440	944	0	0	0	0	200	11	2000	0	0.06	0.18	0.49
50	155	122	56000	154870	1843	0	0	0	0	79860	950	0	0	0	0	200	11	2000	0	0.16	0.18	0.47
50	155	139	58000	156372	1864	0	0	0	0	80576	960	0	0	0	0	200	11	2000	0	0.06	0.14	0.44
