node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	163	878	0	61790	717	0	0	0	0	18002	209	0	0	0	0	200	0	0	1.86	1.65	1.40
49	154	908	2000	98666	1109	0	0	0	0	30278	341	0	0	0	0	200	0	0	1.87	1.65	1.40
49	155	914	4000	112900	1258	0	0	0	0	34528	386	0	0	0	0	200	0	0	1.82	1.65	1.40
49	156	903	6000	132816	1462	0	0	0	0	39972	442	0	0	0	0	200	0	0	1.62	1.61	1.39
49	155	905	8000	156740	1658	0	0	0	0	46716	498	0	0	0	0	200	0	0	1.37	1.56	1.38
49	155	909	10000	192998	1875	0	0	0	0	57700	566	0	0	0	0	200	0	0	1.23	1.51	1.37
49	154	897	12000	400028	2254	0	0	0	0	116200	670	0	0	0	0	200	2	0	0.95	1.44	1.34
49	155	918	14000	613354	3135	0	0	0	0	177230	919	0	0	0	0	200	20	0	0.84	1.38	1.33
49	155	906	16000	860192	3914	0	0	0	0	249234	1141	0	0	0	0	200	39	0	0.68	1.30	1.30
49	156	907	18000	1300544	6308	0	0	0	0	371446	1779	0	0	0	0	200	71	0	0.71	1.27	1.29
49	156	906	20000	1721468	9108	0	0	0	0	488494	2537	0	0	0	0	200	148	0	0.52	1.18	1.26
49	155	900	22000	1920314	10789	0	0	0	0	542590	2989	0	0	0	0	200	188	0	0.51	1.11	1.23
49	153	900	24000	2141474	11599	0	0	0	0	608056	3234	0	0	0	0	200	200	0	0.34	1.02	1.20
49	157	906	26000	2199304	11064	0	0	0	0	622012	3058	0	0	0	0	200	195	0	0.20	0.92	1.16
49	154	912	28000	2516616	11818	0	0	0	0	715332	3282	0	0	0	0	200	200	0	0.20	0.85	1.13
49	154	911	30000	2613950	11545	0	0	0	0	748198	3245	0	0	0	0	200	200	0	0.29	0.80	1.10
49	156	902	32000	2759728	11682	0	0	0	0	786070	3247	0	0	0	0	200	200	0	0.28	0.74	1.07
49	156	901	34000	3021580	12154	0	0	0	0	862270	3379	0	0	0	0	200	200	0	0.22	0.67	1.03
49	157	903	36000	3142462	12225	0	0	0	0	899610	3407	0	0	0	0	200	200	0	0.53	0.68	1.01
49	157	904	38000	3363476	12640	0	0	0	0	961308	3520	0	0	0	0	200	199	0	0.50	0.64	0.98
49	156	909	40000	3603568	13012	0	0	0	0	1037034	3675	0	0	0	0	200	199	0	0.37	0.58	0.95
49	155	916	42000	3765376	12600	0	0	0	0	1085976	3576	0	0	0	0	200	200	0	0.28	0.53	0.91
49	156	892	44000	3851458	13543	0	0	0	0	1111474	3831	0	0	0	0	200	196	0	0.13	0.45	0.87
49	156	896	46000	4100196	13132	0	0	0	0	1183636	3734	0	0	0	0	200	200	0	0.17	0.41	0.83
49	158	905	48000	4207590	13187	0	0	0	0	1214170	3749	0	0	0	0	200	200	0	0.41	0.44	0.81
49	157	888	50000	4366604	13536	0	0	0	0	1261674	3865	0	0	0	0	200	200	0	0.34	0.40	0.78
49	157	911	52000	4608958	13603	0	0	0	0	1331784	3870	0	0	0	0	200	200	0	0.24	0.36	0.74
49	157	908	54000	4822686	14247	0	0	0	0	1393196	4052	0	0	0	0	200	200	0	0.16	0.31	0.70
49	156	901	56000	4968172	13966	0	0	0	0	1438304	3990	0	0	0	0	200	200	0	0.06	0.25	0.65
49	155	894	58000	5194004	14438	0	0	0	0	1503540	4128	0	0	0	0	200	200	0	0.07	0.22	0.62
