node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	224	903	0	34732	402	0	0	0	0	17516	206	0	0	0	0	200	0	0	1.68	1.49	1.30
50	158	919	2000	55488	634	0	0	0	0	29380	342	0	0	0	0	200	0	0	1.55	1.46	1.29
50	158	927	4000	63856	728	0	0	0	0	32940	386	0	0	0	0	200	0	0	1.39	1.43	1.29
50	159	921	6000	74796	852	0	0	0	0	38706	455	0	0	0	0	200	0	0	1.25	1.40	1.28
50	158	922	8000	89068	978	0	0	0	0	44588	512	0	0	0	0	200	0	0	1.21	1.38	1.27
50	157	921	10000	102744	1094	0	0	0	0	51250	577	0	0	0	0	200	0	0	1.02	1.33	1.26
50	159	905	12000	129454	1207	0	0	0	0	61316	636	0	0	0	0	200	0	0	0.94	1.30	1.25
50	157	923	14000	184642	1383	0	0	0	0	80792	706	0	0	0	0	200	2	0	0.73	1.23	1.23
50	158	918	16000	298416	1930	0	0	0	0	120546	903	0	0	0	0	200	12	0	0.53	1.15	1.20
50	159	918	18000	384808	2208	0	0	0	0	153266	1021	0	0	0	0	200	24	0	0.54	1.11	1.18
50	157	914	20000	554964	3430	0	0	0	0	207588	1418	0	0	0	0	200	45	0	0.36	1.02	1.15
50	155	918	22000	812108	5802	0	0	0	0	277990	2051	0	0	0	0	200	104	0	0.31	0.95	1.12
50	159	926	24000	1172254	8803	0	0	0	0	386666	2925	0	0	0	0	200	173	0	0.35	0.89	1.10
50	159	917	26000	1321378	10017	0	0	0	0	431632	3266	0	0	0	0	200	198	0	0.21	0.81	1.06
50	158	921	28000	1392810	10281	0	0	0	0	458956	3398	0	0	0	0	200	200	0	0.18	0.74	1.03
50	156	924	30000	1431640	10044	0	0	0	0	476890	3357	0	0	0	0	200	200	0	0.23	0.69	1.00
50	158	926	32000	1490266	10121	0	2	0	0	498372	3402	0	0	0	0	200	200	0	0.33	0.66	0.98
50	158	917	34000	1600774	10637	0	0	0	0	535732	3568	0	0	0	0	200	200	0	0.30	0.62	0.95
50	157	928	36000	1238432	7976	0	0	0	0	422632	2820	0	0	0	0	200	138	0	0.35	0.60	0.93
50	158	926	38000	1668076	10552	0	0	0	0	568796	3642	0	0	0	0	200	190	0	0.37	0.56	0.90
50	157	919	40000	1730478	10413	0	0	0	0	589510	3587	0	0	0	0	200	200	0	0.24	0.51	0.87
50	156	931	42000	1823830	10801	0	0	0	0	621632	3734	0	0	0	0	200	200	0	0.22	0.47	0.84
50	159	912	44000	1837504	10570	0	0	0	0	631580	3706	0	0	0	0	200	200	0	0.13	0.41	0.80
50	158	925	46000	1923718	11037	0	0	0	0	662678	3881	0	0	0	0	200	200	0	0.18	0.37	0.77
50	160	918	48000	1999682	10927	0	0	0	0	689184	3826	0	0	0	0	200	200	0	0.19	0.35	0.73
50	157	919	50000	2074142	11247	0	0	0	0	715422	3949	0	0	0	0	200	200	0	0.18	0.32	0.70
50	158	920	52000	2101012	11114	0	0	0	0	731224	3958	0	0	0	0	200	200	0	0.41	0.38	0.70
50	159	915	54000	2158546	11139	0	0	0	0	754738	4015	0	0	0	0	200	200	0	0.19	0.32	0.66
50	159	934	56000	2232498	11475	0	0	0	0	775336	4078	0	0	0	0	200	200	0	0.27	0.31	0.63
50	158	924	58000	2358512	12002	0	0	0	0	817790	4257	0	0	0	0	200	200	0	0.18	0.27	0.60
