node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	172	493	0	8996761	25453	0	0	0	0	4509193	12776	0	0	0	0	200	6	7	0.51	0.37	0.40
50	156	497	2000	61146062	131897	0	2	0	0	30615546	65927	0	0	0	0	200	100	13	2.23	0.73	0.51
50	158	501	4000	55817641	132882	0	0	0	0	27945521	66504	0	0	0	0	200	199	19	2.37	0.79	0.53
50	158	503	6000	72130327	157784	0	0	0	0	36098404	78932	0	0	0	0	200	199	19	2.95	0.96	0.59
50	163	504	8000	66886065	154626	0	0	0	0	33501311	77466	0	0	0	0	200	200	18	2.93	1.04	0.62
50	156	496	10000	73647705	171975	0	4	0	0	36876539	85890	0	0	0	0	200	200	17	2.48	1.01	0.62
50	156	499	12000	59768986	159978	0	4	0	0	29934001	80160	0	0	0	0	200	200	16	4.76	1.69	0.85
50	156	494	14000	83655889	192335	0	0	0	0	41895147	96326	0	0	0	0	200	194	17	5.60	2.03	0.98
50	159	499	16000	87297572	204145	0	2	0	0	43727624	102170	0	0	0	0	200	194	17	8.69	2.92	1.29
50	157	506	18000	84395948	187018	0	2	0	0	42209898	92947	0	0	0	0	200	200	18	6.22	2.73	1.26
50	158	497	20000	75065007	195754	0	0	0	0	37602868	98121	0	0	0	0	200	200	16	7.75	3.33	1.50
50	159	503	22000	82669254	203942	0	0	0	0	41396899	102110	0	0	0	0	200	198	18	4.85	3.05	1.46
50	158	505	24000	92009576	210936	0	0	0	0	46069563	105651	0	0	0	0	200	200	16	7.61	3.93	1.80
50	159	501	26000	91998610	209259	0	0	0	0	46022712	104230	0	0	0	0	200	200	17	5.49	3.74	1.81
50	157	509	28000	78362421	206849	0	0	0	0	39282724	103751	0	0	0	0	200	200	20	5.40	3.89	1.92
50	158	500	30000	85788391	217806	0	0	0	0	42975617	109148	0	0	0	0	200	200	19	3.49	3.56	1.88
50	158	497	32000	85609076	204599	0	0	0	0	42864009	102392	0	0	0	0	200	198	16	1.94	3.16	1.81
50	159	503	34000	82946138	215579	0	0	0	0	41558901	108039	0	0	0	0	200	200	18	1.64	2.90	1.77
50	160	506	36000	85688610	221519	0	0	0	0	42946858	111086	0	0	0	0	200	200	19	3.82	3.39	1.98
50	159	502	38000	98554149	230267	0	0	0	0	49346011	115067	0	0	0	0	200	200	18	3.12	3.20	1.98
50	160	500	40000	90829654	231403	0	0	0	0	45506572	116002	0	0	0	0	200	200	18	1.60	2.79	1.89
50	157	498	42000	102456381	235646	0	0	0	0	51303548	117867	0	0	0	0	200	197	17	1.91	2.71	1.91
50	159	499	44000	117188250	283301	0	0	0	0	58689201	141987	0	0	0	0	200	200	17	0.90	2.33	1.82
50	159	499	46000	105982673	250866	0	2	0	0	53068571	125680	0	0	0	0	200	200	19	0.47	1.98	1.73
50	160	498	48000	116826786	251368	0	0	0	0	58499823	125724	0	0	0	0	200	200	17	0.20	1.68	1.64
50	159	509	50000	99197370	241015	0	0	0	0	49687198	120798	0	0	0	0	200	200	15	0.66	1.52	1.58
50	158	516	52000	97700868	243047	0	2	0	0	48947690	121809	0	0	0	0	200	200	18	2.03	1.95	1.73
50	160	496	54000	87470870	226159	0	6	0	0	43832385	113428	0	0	0	0	200	200	17	1.23	1.69	1.66
50	159	505	56000	97534598	249112	0	0	0	0	48848916	124792	0	0	0	0	200	200	18	3.64	2.54	1.97
50	164	502	58000	107376242	244988	0	0	0	0	53775074	122581	0	0	0	0	200	200	23	2.49	2.31	1.92
