node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	duration_ms	rtt_avg_ms	load1	load5	load15
50	207	478	0	4759181	18269	0	0	0	0	1592647	6280	0	0	0	0	200	1	2039	11	0.26	0.26	0.56
50	153	487	2000	20752442	68396	0	0	0	0	5965336	20093	0	0	0	0	200	117	2000	17	0.24	0.25	0.55
50	154	492	4000	24809655	82444	0	0	0	0	7367705	25043	0	0	0	0	200	176	2000	9	0.84	0.38	0.59
50	153	486	6000	11484312	45835	0	0	0	0	3910275	15789	0	0	0	0	200	65	2000	4	3.00	0.87	0.75
50	153	499	8000	28856414	92951	0	0	0	0	8384331	27708	0	0	0	0	200	199	2000	10	2.86	0.91	0.76
50	154	495	10000	30295093	99762	0	0	0	0	8896021	30058	0	0	0	0	200	199	2000	5	2.47	0.91	0.77
50	153	477	12000	33759192	111552	0	0	0	0	9868242	33513	0	0	0	0	200	200	2000	5	2.08	0.90	0.76
50	152	479	14000	35970789	116096	0	2	0	0	10458320	34712	0	0	0	0	200	199	2000	5	3.11	1.21	0.87
50	154	495	16000	34490783	115889	0	0	0	0	10455882	36069	0	0	0	0	200	198	2000	6	2.89	1.29	0.90
50	154	504	18000	34329942	120412	0	0	0	0	10374329	37356	0	0	0	0	200	184	2000	5	1.90	1.19	0.88
50	153	481	20000	34893852	118795	0	0	0	0	10141608	35614	0	0	0	0	200	200	2000	6	1.94	1.25	0.91
50	154	494	22000	34678528	121539	0	0	0	0	10501069	37721	0	0	0	0	200	188	2001	5	1.23	1.15	0.88
50	155	498	24000	40642631	133753	0	0	0	0	11963485	40407	0	0	0	0	200	200	2001	5	0.81	1.05	0.86
50	146	478	26000	39612500	130414	0	0	0	0	11396157	38855	0	0	0	0	200	200	2000	6	0.73	1.00	0.85
50	151	479	28000	39087775	130016	0	0	0	0	11378024	39060	0	0	0	0	200	200	2026	6	1.78	1.25	0.94
50	154	494	30000	39797572	131466	0	0	0	0	11699450	39872	0	0	0	0	200	197	2000	6	1.07	1.13	0.91
50	149	469	32000	40407818	136017	0	0	0	0	11994261	41757	0	0	0	0	200	199	2000	5	1.08	1.10	0.90
50	151	482	34000	38336231	133616	0	0	0	0	11367293	40849	0	0	0	0	200	199	2000	6	0.68	0.99	0.88
50	155	496	36000	44608905	146017	0	0	0	0	13033089	44244	0	0	0	0	200	200	2000	6	2.36	1.45	1.04
50	154	487	38000	39986290	139824	0	0	0	0	11827324	42744	0	0	0	0	200	199	2000	5	1.21	1.26	0.99
50	153	499	40000	43445483	147095	0	0	0	0	13024149	45296	0	0	0	0	200	200	2000	5	0.62	1.10	0.95
50	154	492	42000	42124595	142862	0	0	0	0	12504199	43915	0	0	0	0	200	198	2000	6	0.29	0.94	0.90
50	153	502	44000	43777388	150699	0	0	0	0	12819097	45780	0	0	0	0	200	200	2001	5	1.09	1.02	0.93
50	153	480	46000	48748487	169122	0	0	0	0	14454000	51938	0	0	0	0	200	199	2029	6	3.59	1.95	1.27
50	153	480	48000	43401530	151091	0	0	0	0	12811807	46238	0	0	0	0	200	199	2000	6	1.61	1.66	1.20
50	154	492	50000	45588316	151962	0	0	0	0	13553379	46722	0	0	0	0	200	200	2001	6	0.88	1.43	1.15
50	154	494	52000	50149853	175499	0	0	0	0	15195493	54697	0	0	0	0	200	196	2000	6	0.90	1.31	1.12
50	154	493	54000	42760412	147942	0	0	0	0	12572891	45386	0	0	0	0	200	200	2000	5	0.36	1.08	1.05
50	155	501	56000	42284816	152202	0	0	0	0	12894431	47771	0	0	0	0	200	200	2001	6	1.51	1.18	1.08
50	154	492	58000	43551257	147840	0	0	0	0	12792281	45267	0	0	0	0	200	199	2025	6	1.37	1.16	1.07
