node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	duration_ms	rtt_avg_ms	load1	load5	load15
49	193	545	0	382691	2881	0	0	0	0	110903	840	0	0	0	0	84	6	5000	0	0.26	0.24	0.15
49	158	548	2000	271372	2544	0	0	0	0	81108	764	0	0	0	0	84	5	5001	0	0.37	0.26	0.16
49	172	654	4000	288016	2682	0	0	0	0	85950	805	0	0	0	0	84	1	5000	0	0.31	0.25	0.15
49	160	534	6000	294128	2702	0	0	0	0	88030	815	0	0	0	0	84	6	5000	0	0.39	0.27	0.16
49	161	549	8000	433062	3631	0	0	0	0	127150	1075	0	0	0	0	84	7	5000	0	0.62	0.33	0.18
49	161	551	10000	551490	4487	0	0	0	0	162046	1323	0	0	0	0	84	6	5001	0	0.79	0.39	0.20
49	172	542	12000	949838	7521	0	0	0	0	274994	2173	0	0	0	0	84	13	5000	0	0.72	0.39	0.21
49	161	545	14000	1141239	8305	0	0	0	0	328449	2385	0	0	0	0	84	28	5000	0	0.66	0.40	0.22
49	160	545	16000	1335633	9940	0	0	0	0	381851	2834	0	0	0	0	84	54	5001	0	0.74	0.43	0.23
49	160	533	18000	1309664	9483	0	0	0	0	375320	2717	0	0	0	0	84	76	5000	0	0.65	0.43	0.23
49	160	542	20000	1407881	10499	0	0	0	0	400692	2986	0	0	0	0	84	84	5001	0	0.51	0.41	0.23
49	161	552	22000	1418825	10607	0	0	0	0	408270	3042	0	0	0	0	84	84	5000	0	0.68	0.45	0.25
49	162	535	24000	1362235	9820	0	0	0	0	391371	2814	0	0	0	0	84	84	5000	0	1.02	0.55	0.29
49	159	535	26000	1342269	9308	0	0	0	0	386598	2665	0	0	0	0	84	84	5000	0	0.78	0.53	0.29
49	161	551	28000	1462655	9794	0	0	0	0	421294	2810	0	0	0	0	84	84	5000	0	1.04	0.62	0.33
49	166	535	30000	1561238	10367	0	0	0	0	446382	2957	0	0	0	0	84	84	5000	0	0.66	0.57	0.32
49	161	545	32000	1625232	10221	0	0	0	0	466040	2919	0	0	0	0	84	84	5000	0	0.76	0.60	0.34
49	167	576	34000	1650752	10611	0	0	0	0	472796	3030	0	0	0	0	84	84	5001	0	0.63	0.59	0.36
49	157	528	36000	1603741	9874	0	0	0	0	459973	2821	0	0	0	0	84	84	5000	0	0.61	0.58	0.36
49	158	546	38000	1699503	10717	0	0	0	0	488880	3069	0	0	0	0	84	84	5000	0	0.50	0.55	0.36
49	163	549	40000	1761581	11119	0	0	0	0	505416	3179	0	0	0	0	84	84	5000	0	0.39	0.51	0.36
49	169	533	42000	1813441	11472	0	0	0	0	520466	3287	0	0	0	0	84	84	5001	0	0.49	0.50	0.36
49	164	559	44000	1831360	11266	0	0	0	0	527021	3222	0	0	0	0	84	84	5000	0	0.84	0.61	0.41
49	169	572	46000	1867658	10911	0	0	0	0	537351	3135	0	0	0	0	84	84	5000	0	1.32	0.77	0.48
49	162	554	48000	1875281	10757	0	0	0	0	543181	3106	0	0	0	0	84	84	5001	0	0.86	0.74	0.48
49	173	597	50000	2036814	11935	0	0	0	0	585190	3412	0	0	0	0	84	84	5000	0	1.49	0.92	0.56
49	176	620	52000	2012343	11468	0	0	0	0	580778	3296	0	0	0	0	84	84	5000	0	1.66	1.05	0.62
49	163	556	54000	2061206	11891	0	0	0	0	595024	3417	0	0	0	0	84	84	5000	0	0.77	0.91	0.60
49	160	628	56000	2128979	11963	0	0	0	0	611983	3414	0	0	0	0	84	84	5000	0	0.63	0.86	0.61
49	188	752	58000	2123358	12143	0	0	0	0	611022	3478	0	0	0	0	84	84	5000	0	0.73	0.87	0.63
