node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	duration_ms	rtt_avg_ms	load1	load5	load15
50	187	540	0	136893	1158	0	0	0	0	66220	570	0	0	0	0	49	1	5001	0	1.73	2.25	2.22
50	161	588	2000	141488	1290	0	0	0	0	73516	678	0	0	0	0	49	1	5000	0	1.47	2.17	2.20
50	166	584	4000	145148	1318	0	0	0	0	77372	718	0	0	0	0	49	1	5000	0	1.14	2.07	2.16
50	161	616	6000	157308	1444	0	0	0	0	80278	747	0	0	0	0	49	2	5000	0	1.04	2.00	2.14
50	210	743	8000	265062	2141	0	0	0	0	132973	1093	0	0	0	0	49	0	5000	0	1.33	2.02	2.14
50	214	718	10000	352036	2655	0	0	0	0	175147	1332	0	0	0	0	49	2	5001	0	1.52	2.01	2.14
50	172	587	12000	514579	3766	0	0	0	0	244934	1791	0	0	0	0	49	5	5000	0	1.22	1.91	2.10
50	168	569	14000	684881	4993	0	0	0	0	309843	2192	0	0	0	0	49	20	5000	0	1.27	1.89	2.09
50	169	583	16000	685590	4900	0	0	0	0	313545	2182	0	0	0	0	49	29	5000	0	0.95	1.76	2.04
50	165	562	18000	791163	5764	0	0	0	0	346282	2464	0	0	0	0	49	46	5000	1	1.02	1.72	2.02
50	165	561	20000	787491	5818	0	0	0	0	349979	2559	0	0	0	0	49	49	5000	0	0.67	1.58	1.96
50	167	573	22000	798960	5697	0	0	0	0	344897	2417	0	0	0	0	49	49	5000	0	0.78	1.51	1.93
50	160	575	24000	828556	6156	0	0	0	0	362467	2597	0	0	0	0	49	49	5000	0	0.80	1.44	1.89
50	219	716	26000	826241	5820	0	0	0	0	370011	2571	0	0	0	0	49	49	5000	0	0.77	1.37	1.85
50	163	558	28000	904256	6494	0	0	0	0	400999	2819	0	0	0	0	49	49	5000	0	0.71	1.29	1.80
50	163	567	30000	896054	5915	0	0	0	0	397804	2550	0	0	0	0	49	49	5000	0	0.71	1.22	1.76
50	180	595	32000	971847	6373	0	0	0	0	441339	2827	0	0	0	0	49	49	5000	0	0.77	1.16	1.72
50	162	576	34000	956835	6000	0	0	0	0	431464	2619	0	0	0	0	49	49	5000	0	0.60	1.06	1.66
50	185	665	36000	976386	6209	0	0	0	0	445604	2746	0	0	0	0	49	49	5000	0	0.90	1.06	1.63
50	170	593	38000	989149	6249	0	0	0	0	453881	2781	0	0	0	0	49	49	5000	0	1.43	1.16	1.64
50	180	591	40000	985491	6109	0	0	0	0	454321	2687	0	0	0	0	49	49	5000	0	1.23	1.12	1.60
50	201	744	42000	1061008	6772	0	0	0	0	489391	3010	0	0	0	0	49	49	5000	0	1.04	1.11	1.57
50	167	580	44000	1123488	6743	0	0	0	0	511124	2983	0	0	0	0	49	49	5000	0	1.18	1.13	1.55
50	201	755	46000	1114593	6679	0	0	0	0	516035	2971	0	0	0	0	49	49	5000	0	1.19	1.14	1.53
50	164	566	48000	1150725	6815	0	0	0	0	532320	2986	0	0	0	0	49	49	5001	0	1.25	1.20	1.53
50	160	571	50000	1186418	6995	0	0	0	0	544647	3101	0	0	0	0	49	49	5000	0	1.79	1.35	1.56
50	245	736	52000	1145630	6377	0	0	0	0	532817	2861	0	0	0	0	49	49	5000	0	1.13	1.24	1.51
50	204	713	54000	1226111	6894	0	0	0	0	566115	3050	0	0	0	0	49	49	5000	0	2.03	1.48	1.58
50	315	900	56000	1222139	6954	0	0	0	0	563245	3079	0	0	0	0	49	49	5000	0	2.15	1.63	1.62
50	165	575	58000	1265155	7054	0	0	0	0	577736	3079	0	0	0	0	49	49	5000	0	1.04	1.40	1.54
