node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	duration_ms	rtt_avg_ms	load1	load5	load15
50	195	473	0	259298	2311	0	0	0	0	131078	1169	0	0	0	0	49	0	5000	0	0.72	0.87	1.01
50	164	491	2000	430768	4196	0	0	0	0	218810	2135	0	0	0	0	49	0	5000	0	0.61	0.84	1.00
50	159	497	4000	567466	5647	0	0	0	0	287554	2867	0	0	0	0	49	0	5000	0	0.75	0.86	1.01
50	163	492	6000	682958	6785	0	0	0	0	346468	3450	0	0	0	0	49	0	5001	0	0.66	0.84	0.99
50	172	490	8000	861250	8621	0	0	0	0	436364	4378	0	0	0	0	49	0	5000	0	0.66	0.83	0.99
50	173	489	10000	1049310	10529	0	0	0	0	531404	5346	0	0	0	0	49	0	5000	0	0.61	0.81	0.98
50	169	488	12000	1256000	12438	0	0	0	0	635628	6310	0	0	0	0	49	0	5000	0	0.63	0.80	0.97
50	170	491	14000	1478958	14561	0	0	0	0	748480	7388	0	0	0	0	49	0	5000	0	0.68	0.80	0.97
50	166	484	16000	1689614	16493	0	0	0	0	855276	8372	0	0	0	0	49	0	5000	0	0.53	0.75	0.95
50	163	490	18000	1936624	18798	0	0	0	0	979814	9537	0	0	0	0	49	0	5000	0	0.43	0.71	0.93
50	165	488	20000	2201034	21069	0	0	0	0	1113756	10686	0	0	0	0	49	0	5000	0	0.33	0.66	0.90
50	166	489	22000	2503516	23564	0	0	0	0	1266638	11953	0	0	0	0	49	0	5001	0	0.20	0.59	0.87
50	167	486	24000	2806100	26006	0	0	0	0	1419886	13199	0	0	0	0	49	0	5000	0	0.18	0.55	0.85
50	180	495	26000	3180224	28990	0	0	0	0	1608866	14709	0	0	0	0	49	1	5001	0	0.26	0.53	0.83
50	162	487	28000	3679696	33208	0	0	0	0	1861112	16842	0	0	0	0	49	12	5000	1	0.39	0.52	0.82
50	168	490	30000	4055462	35775	0	0	0	0	2051634	18157	0	0	0	0	49	23	5000	1	0.37	0.50	0.80
50	164	493	32000	4442258	38781	0	0	0	0	2246504	19666	0	0	0	0	49	24	5000	1	0.35	0.47	0.77
50	170	493	34000	4861550	41601	0	0	0	0	2458344	21096	0	0	0	0	49	29	5000	2	0.27	0.44	0.75
50	161	492	36000	5362748	44746	0	0	0	0	2712082	22695	0	0	0	0	49	27	5000	2	0.16	0.39	0.72
50	179	489	38000	5735144	47700	0	0	0	0	2900994	24177	0	0	0	0	49	29	5000	2	0.29	0.39	0.70
50	171	491	40000	6234936	50940	0	0	0	0	3153960	25842	0	0	0	0	49	35	5000	2	0.18	0.35	0.67
50	170	490	42000	6551318	53593	0	0	0	0	3314568	27180	0	0	0	0	49	32	5000	2	0.29	0.36	0.66
50	159	490	44000	7171770	57049	0	0	0	0	3628168	28950	0	0	0	0	49	33	5002	2	0.30	0.34	0.63
50	162	493	46000	7560656	59576	0	0	0	0	3825408	30232	0	0	0	0	49	37	5000	2	0.17	0.30	0.60
50	161	488	48000	8184148	63692	0	0	0	0	4141260	32300	0	0	0	0	49	37	5000	2	0.21	0.30	0.59
50	161	493	50000	8658830	65885	0	0	0	0	4381486	33421	0	0	0	0	49	40	5000	2	0.08	0.25	0.55
50	170	489	52000	9141122	68663	0	0	0	0	4626278	34841	0	0	0	0	49	34	5000	2	0.22	0.26	0.53
50	183	491	54000	9779936	73054	0	0	0	0	4949586	37069	0	0	0	0	49	38	5001	2	0.22	0.27	0.52
50	164	493	56000	10223072	74832	0	0	0	0	5174876	37972	0	0	0	0	49	36	5000	2	0.07	0.21	0.48
50	168	490	58000	10758864	78462	0	0	0	0	5446388	39820	0	0	0	0	49	38	5000	3	0.33	0.25	0.47
