node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	duration_ms	rtt_avg_ms	load1	load5	load15
50	198	484	0	448626	3747	0	0	0	0	163196	1398	0	0	0	0	49	0	5000	0	0.87	1.34	1.52
50	167	496	2000	857240	7650	0	0	0	0	311348	2896	0	0	0	0	49	0	5000	0	0.81	1.31	1.50
50	166	488	4000	1162996	9892	0	0	0	0	431866	3825	0	0	0	0	49	0	5001	0	1.58	1.47	1.55
50	170	502	6000	1617242	13319	0	0	0	0	600714	5109	0	0	0	0	49	0	5000	0	1.76	1.51	1.57
50	175	502	8000	2239850	18011	0	0	0	0	850018	7021	0	0	0	0	49	0	5000	0	1.43	1.45	1.55
50	159	493	10000	2692224	20090	0	0	0	0	1059312	8032	0	0	0	0	49	0	5000	0	1.09	1.37	1.52
50	165	493	12000	3418178	24857	0	0	0	0	1374640	10068	0	0	0	0	49	0	5000	0	1.02	1.33	1.50
50	162	496	14000	4084018	28527	0	0	0	0	1690048	11762	0	0	0	0	49	0	5000	0	0.73	1.25	1.47
50	161	496	16000	4761594	31411	0	0	0	0	2018618	13205	0	0	0	0	49	0	5000	0	0.70	1.20	1.44
50	173	493	18000	5371222	34341	0	0	0	0	2322022	14619	0	0	0	0	49	0	5000	0	0.55	1.11	1.41
50	164	488	20000	6026132	37334	0	0	0	0	2650516	16100	0	0	0	0	49	0	5000	0	0.43	1.04	1.37
50	169	495	22000	6642024	40236	0	0	0	0	2962312	17602	0	0	0	0	49	0	5000	0	0.72	1.05	1.37
50	163	491	24000	7226504	42746	0	0	0	0	3258994	18805	0	0	0	0	49	0	5001	0	0.45	0.95	1.32
50	171	491	26000	7918180	46798	0	0	0	0	3570150	20509	0	0	0	0	49	7	5001	74	0.75	0.96	1.31
50	161	492	28000	8610094	49735	0	0	0	0	3856068	21498	0	0	0	0	49	25	5001	1	0.48	0.87	1.26
50	168	491	30000	9271692	53464	0	0	0	0	4190558	23285	0	0	0	0	49	44	5000	1	0.48	0.82	1.23
50	174	497	32000	9831306	54831	0	0	0	0	4487828	24112	0	0	0	0	49	49	5000	1	0.34	0.74	1.19
50	163	496	34000	10421590	57517	0	0	0	0	4787978	25375	0	0	0	0	49	49	5000	1	0.29	0.68	1.14
50	170	490	36000	11005732	59350	0	0	0	0	5083944	26360	0	0	0	0	49	49	5001	1	0.41	0.67	1.12
50	166	497	38000	11597994	61973	0	0	0	0	5383128	27576	0	0	0	0	49	49	5000	1	0.61	0.68	1.10
50	166	487	40000	12312692	66800	0	0	0	0	5735452	29880	0	0	0	0	49	49	5000	2	0.37	0.60	1.05
50	164	494	42000	12870922	68695	0	0	0	0	6032224	31000	0	0	0	0	49	49	5000	1	0.48	0.60	1.02
50	162	493	44000	13502018	70787	0	0	0	0	6350374	31955	0	0	0	0	49	49	5000	2	0.32	0.53	0.98
50	163	493	46000	14112632	75014	0	0	0	0	6660562	34019	0	0	0	0	49	49	5001	2	0.24	0.47	0.93
50	167	491	48000	14653982	75795	0	0	0	0	6953100	34502	0	0	0	0	49	49	5000	1	0.18	0.42	0.89
50	175	491	50000	15315960	79208	0	0	0	0	7280932	36086	0	0	0	0	49	49	5001	2	0.10	0.36	0.83
50	172	492	52000	15903982	81815	0	0	0	0	7590494	37605	0	0	0	0	49	49	5000	1	0.42	0.40	0.82
50	164	494	54000	16575814	84297	0	0	0	0	7923000	38606	0	0	0	0	49	49	5000	2	0.63	0.44	0.80
50	161	494	56000	17096236	86092	0	0	0	0	8210090	39797	0	0	0	0	49	49	5000	1	0.45	0.41	0.77
50	182	496	58000	17784622	89071	0	0	0	0	8544144	41076	0	0	0	0	49	49	5001	1	0.37	0.39	0.73
