node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	duration_ms	rtt_avg_ms	load1	load5	load15
50	200	6760	0	2276410	6070	0	0	0	0	943900	2854	0	0	0	0	49	3	5000	0	1.15	0.58	0.58
50	161	7264	2000	7309824	13379	0	0	0	0	2875958	5914	0	0	0	0	49	1	5001	0	1.14	0.62	0.59
50	159	7508	4000	6645852	13292	0	0	0	0	2667865	6036	0	0	0	0	49	0	5000	0	1.09	0.65	0.60
50	162	7333	6000	10704251	17845	0	0	0	0	4402871	8019	0	0	0	0	49	3	5001	0	1.79	0.82	0.66
50	159	7110	8000	10901935	18246	0	0	0	0	4526982	8287	0	0	0	0	49	1	5001	0	1.63	0.85	0.67
50	162	7365	10000	11727640	19528	0	0	0	0	4902098	8869	0	0	0	0	49	2	5001	0	1.93	0.97	0.72
50	160	7005	12000	12732489	20974	0	0	0	0	5420288	9565	0	0	0	0	49	2	5001	0	1.39	0.93	0.71
50	162	8121	14000	12852721	21307	0	0	0	0	5448982	9764	0	0	0	0	49	0	5000	0	1.29	0.95	0.73
50	161	7739	16000	12810864	21305	0	0	0	0	5614335	9978	0	0	0	0	49	1	5001	0	1.00	0.92	0.72
50	160	8055	18000	13681516	22422	0	0	0	0	5883447	10373	0	0	0	0	49	2	5001	0	1.47	1.06	0.78
50	160	8341	20000	13224073	22355	0	0	0	0	5791123	10472	0	0	0	0	49	3	5000	0	1.93	1.22	0.84
50	161	7512	22000	13972570	23235	0	0	0	0	5908099	10596	0	0	0	0	49	0	5000	0	1.89	1.28	0.88
50	160	7043	24000	13814433	23488	0	0	0	0	5937979	10865	0	0	0	0	49	0	5000	0	1.30	1.21	0.87
50	162	7597	26000	13926565	23326	0	0	0	0	5993326	10818	0	0	0	0	49	1	5000	0	0.99	1.14	0.86
50	163	8304	28000	13882795	23285	0	0	0	0	5967620	10816	0	0	0	0	49	1	5000	0	0.61	1.02	0.83
50	162	7668	30000	14044787	23806	0	0	0	0	6070026	11082	0	0	0	0	49	3	5000	0	0.58	0.95	0.82
50	160	7918	32000	13830347	23810	0	0	0	0	6069150	11209	0	0	0	0	49	2	5000	0	0.52	0.88	0.80
50	160	7357	34000	14444988	24928	0	0	0	0	6250191	11614	0	0	0	0	49	3	5000	0	1.04	0.96	0.83
50	160	6847	36000	13953825	23859	0	0	0	0	6097244	11201	0	0	0	0	49	4	5000	0	0.53	0.84	0.80
50	161	7339	38000	14245794	24653	0	0	0	0	6202754	11553	0	0	0	0	49	1	5001	0	0.90	0.93	0.83
50	160	7897	40000	14521483	25525	0	0	0	0	6322242	11969	0	0	0	0	49	2	5001	0	0.47	0.82	0.80
50	160	7588	42000	14456374	25160	0	0	0	0	6318478	11867	0	0	0	0	49	0	5000	0	0.68	0.83	0.81
50	160	8117	44000	14497934	25573	0	0	0	0	6363366	12088	0	0	0	0	49	3	5001	0	0.50	0.77	0.79
50	162	7619	46000	14668478	25443	0	0	0	0	6389611	12009	0	0	0	0	49	3	5000	0	0.66	0.76	0.79
50	160	7710	48000	14914312	26085	0	0	0	0	6501667	12292	0	0	0	0	49	2	5000	0	0.75	0.79	0.80
50	161	6914	50000	14830609	26209	0	0	0	0	6487470	12406	0	0	0	0	49	1	5001	0	0.80	0.80	0.80
50	160	8395	52000	15360184	27134	0	0	0	0	6679823	12760	0	0	0	0	49	2	5000	0	0.56	0.76	0.79
50	161	7442	54000	15353500	27196	0	0	0	0	6659258	12778	0	0	0	0	49	2	5000	0	0.51	0.73	0.78
50	161	7447	56000	15128708	26694	0	0	0	0	6568148	12597	0	0	0	0	49	2	5000	0	0.68	0.77	0.79
50	161	7945	58000	15174985	27029	0	0	0	0	6627438	12805	0	0	0	0	49	1	5000	0	0.37	0.65	0.75
