node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	duration_ms	rtt_avg_ms	load1	load5	load15
50	199	3822	0	2089176	11086	0	614	0	0	1053388	5594	0	0	0	0	49	8	5001	19	1.29	0.93	0.64
50	164	3519	2000	2305188	12891	0	601	0	0	1165080	6526	0	0	0	0	49	6	5000	8	1.24	0.93	0.64
50	161	3606	4000	2968942	16313	0	585	0	0	1497402	8242	0	0	0	0	49	8	5000	18	1.77	1.06	0.69
50	164	4019	6000	3503830	19193	0	607	0	0	1768016	9700	0	0	0	0	49	10	5001	6	1.42	1.02	0.69
50	161	3944	8000	4034918	22194	0	614	0	0	2035464	11212	0	0	0	0	49	15	5001	15	1.22	1.01	0.69
50	162	4990	10000	5044490	27234	0	618	0	0	2543128	13751	0	0	0	0	49	17	5000	74	1.25	1.02	0.70
50	161	4582	12000	5889836	31779	0	586	0	0	2968416	16036	0	0	0	0	49	12	5000	16	1.18	1.02	0.71
50	161	4569	14000	6310602	33995	0	609	0	0	3177496	17137	0	0	0	0	49	15	5000	20	2.15	1.24	0.79
50	162	4432	16000	7255842	38772	0	599	0	0	3655576	19560	0	0	0	0	49	15	5000	28	1.76	1.21	0.79
50	160	4587	18000	7904220	43090	0	564	0	0	3978932	21716	0	0	0	0	49	20	5000	17	1.82	1.26	0.82
50	161	5214	20000	8330500	45731	0	625	0	0	4192412	23040	0	0	0	0	49	19	5001	10	1.13	1.15	0.80
50	164	5319	22000	9151558	50258	0	604	0	0	4605928	25323	0	0	0	0	49	21	5000	29	1.33	1.18	0.83
50	162	5171	24000	10102808	54992	0	599	0	0	5084772	27708	0	0	0	0	49	14	5000	18	1.03	1.13	0.82
50	160	4283	26000	11385654	61762	0	589	0	0	5727204	31098	0	0	0	0	49	13	5000	23	1.11	1.14	0.84
50	160	4188	28000	10878592	60443	0	584	0	0	5472500	30433	0	0	0	0	49	15	5000	62	0.69	1.03	0.81
50	160	3795	30000	11243162	63009	0	598	0	0	5665764	31782	0	0	0	0	49	21	5000	55	0.68	0.98	0.81
50	160	3814	32000	12380064	68585	0	595	0	0	6233616	34558	0	0	0	0	49	15	5000	14	0.56	0.90	0.79
50	161	4305	34000	13694648	75142	0	610	0	0	6893184	37851	0	0	0	0	49	25	5000	18	0.67	0.87	0.79
50	160	3582	36000	14631854	79453	0	585	0	0	7353868	39966	0	0	0	0	49	15	5001	49	1.38	1.04	0.85
50	160	3756	38000	15426518	84519	0	583	0	0	7764272	42577	0	0	0	0	49	19	5000	20	1.38	1.08	0.87
50	160	4009	40000	16461036	90477	0	585	0	0	8280760	45551	0	0	0	0	49	20	5000	13	1.09	1.04	0.87
50	161	5170	42000	17569282	97608	0	1088	0	0	8831122	49098	0	0	0	0	48	15	5000	53	1.56	1.20	0.93
50	161	3726	44000	19026538	104764	0	548	0	0	9571628	52735	0	0	0	0	49	21	5000	13	1.20	1.13	0.92
50	160	5083	46000	20055860	110862	0	601	0	0	10082398	55776	0	0	0	0	49	24	5000	18	1.55	1.19	0.95
50	161	3443	48000	19315762	106786	0	613	0	0	9715556	53747	0	0	0	0	49	21	5000	12	1.43	1.23	0.98
50	161	4750	50000	21403032	119325	0	608	0	0	10752576	59985	0	0	0	0	49	28	5000	37	1.54	1.31	1.03
50	161	4392	52000	22008048	122639	0	598	0	0	11069650	61723	0	0	0	0	49	18	5000	21	0.95	1.17	0.99
50	165	4227	54000	23707904	130937	0	567	0	0	11914124	65839	0	0	0	0	49	18	5000	25	0.63	1.03	0.96
50	162	4818	56000	25098434	139329	0	587	0	0	12614188	70064	0	0	0	0	49	20	5000	18	1.06	1.08	0.98
50	162	4355	58000	24079600	135752	0	603	0	0	12112590	68326	0	0	0	0	49	29	5000	23	1.17	1.12	1.01
