node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	duration_ms	rtt_avg_ms	load1	load5	load15
49	237	421	0	30425292	94063	0	0	0	0	8418840	26138	0	0	0	0	84	66	5000	34	1.09	0.80	0.68
49	160	258	2000	26428989	87051	0	0	0	0	7356000	24266	0	0	0	0	84	69	5000	38	1.15	0.82	0.69
49	159	250	4000	31413605	100431	0	0	0	0	8671209	27762	0	0	0	0	84	78	5001	29	1.13	0.83	0.69
49	258	474	6000	37168537	113599	0	0	0	0	10539788	32318	0	0	0	0	84	81	5000	14	3.62	1.38	0.87
49	219	361	8000	31485764	107512	0	0	0	0	8480849	29145	0	0	0	0	84	79	5000	27	3.11	1.38	0.88
49	248	399	10000	37335190	120690	0	0	0	0	10506740	34111	0	0	0	0	84	84	5000	13	6.03	2.17	1.16
49	196	310	12000	34063684	112397	0	0	0	0	9376953	31133	0	0	0	0	84	84	5000	13	5.26	2.24	1.20
49	222	348	14000	38837218	120039	0	0	0	0	10605718	33025	0	0	0	0	84	82	5000	13	5.60	2.55	1.32
49	185	316	16000	42965940	132462	0	0	0	0	12060998	37288	0	0	0	0	84	84	5000	12	4.80	2.59	1.37
49	208	402	18000	41312857	135410	0	0	0	0	11465300	37694	0	0	0	0	84	84	5001	14	3.99	2.57	1.40
49	195	303	20000	34219823	121421	0	0	0	0	9286900	33124	0	0	0	0	84	81	5000	14	3.76	2.64	1.45
49	184	298	22000	46241783	151683	0	0	0	0	13392444	43892	0	0	0	0	84	84	5000	13	3.43	2.66	1.50
49	204	339	24000	43197540	143392	0	0	0	0	11652157	38958	0	0	0	0	84	82	5001	15	4.97	3.09	1.68
49	185	317	26000	40926334	139451	0	0	0	0	11319626	38652	0	0	0	0	84	84	5002	12	4.23	3.13	1.74
49	230	349	28000	44240904	145123	0	0	0	0	11906420	39316	0	0	0	0	84	84	5000	12	2.78	2.89	1.71
49	189	321	30000	45030872	147233	0	0	0	0	12718567	41745	0	0	0	0	84	79	5000	21	2.05	2.69	1.69
49	164	263	32000	43817031	146801	0	0	0	0	11876918	40042	0	0	0	0	83	81	5000	19	3.91	3.00	1.84
49	158	272	34000	46572218	155444	0	0	0	0	12734145	42718	0	0	0	0	84	84	5000	15	8.41	4.11	2.25
49	205	262	36000	42463335	148306	0	0	0	0	11643427	40851	0	0	0	0	84	84	5000	18	7.02	4.41	2.44
49	163	257	38000	47027059	159043	0	0	0	0	12832666	43631	0	0	0	0	84	82	5000	12	5.98	4.45	2.55
49	243	343	40000	52482518	172331	0	0	0	0	14537456	47827	0	0	0	0	84	84	5000	14	4.36	4.26	2.57
49	184	353	42000	49051197	166946	0	0	0	0	13521030	46263	0	0	0	0	84	81	5000	18	2.96	3.88	2.53
49	212	356	44000	45147739	161322	0	0	0	0	12624375	45191	0	0	0	0	84	84	5001	16	2.79	3.65	2.53
49	205	328	46000	47421525	164113	0	0	0	0	13302079	46149	0	0	0	0	84	84	5000	10	8.29	5.27	3.15
49	232	413	48000	50386740	173261	0	0	0	0	14500719	49762	0	0	0	0	84	82	5000	8	4.75	4.78	3.11
49	201	306	50000	49052407	171147	0	0	0	0	13798741	48167	0	0	0	0	84	84	5000	14	2.45	4.09	2.97
49	163	263	52000	47770465	162723	0	0	0	0	13303458	45634	0	0	0	0	84	80	5000	29	2.09	3.67	2.89
49	192	292	54000	50995600	170650	0	0	0	0	14413609	48450	0	0	0	0	84	84	5000	8	1.63	3.21	2.78
49	171	259	56000	46709984	164584	0	0	0	0	12575423	44677	0	0	0	0	84	84	5000	10	2.36	3.05	2.75
49	231	364	58000	48545514	171356	0	0	0	0	14066920	49621	0	0	0	0	84	84	5000	17	2.85	3.12	2.80
