node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	duration_ms	rtt_avg_ms	load1	load5	load15
50	159	477	0	30018772	73418	0	0	0	0	15037033	36795	0	0	0	0	49	30	5000	33	1.74	1.55	1.00
50	188	324	2000	12703114	36951	0	0	0	0	6370033	18552	0	0	0	0	49	14	5000	22	1.84	1.58	1.02
50	198	307	4000	9911897	34788	0	0	0	0	4966335	17460	0	0	0	0	49	15	5000	57	1.58	1.54	1.01
50	165	255	6000	15233124	47169	0	0	0	0	7630382	23661	0	0	0	0	49	26	5000	32	2.04	1.64	1.05
50	165	266	8000	10665928	38328	0	0	0	0	5351218	19260	0	0	0	0	49	12	5001	18	1.59	1.56	1.03
50	164	251	10000	17034889	54330	0	0	0	0	8551185	27299	0	0	0	0	49	18	5000	20	1.40	1.52	1.03
50	172	253	12000	21056024	68182	0	0	0	0	10559943	34218	0	0	0	0	49	16	5000	28	1.00	1.42	1.00
50	172	269	14000	15987079	53163	0	0	0	0	8042344	26757	0	0	0	0	49	16	5000	18	0.89	1.35	0.99
50	166	265	16000	26942275	84530	0	0	0	0	13507955	42416	0	0	0	0	49	29	5000	23	0.64	1.26	0.97
50	164	399	18000	33989286	102322	0	0	0	0	17050307	51356	0	0	0	0	49	36	5000	32	0.42	1.16	0.95
50	164	254	20000	36869086	110619	0	0	0	0	18493121	55520	0	0	0	0	49	47	5000	35	0.49	1.11	0.94
50	163	254	22000	42466676	116431	0	0	0	0	21309216	58455	0	0	0	0	49	46	5000	40	0.30	1.00	0.90
50	163	274	24000	16241314	57538	0	0	0	0	8166152	28946	0	0	0	0	49	14	5002	16	0.62	0.99	0.90
50	193	315	26000	43550598	119695	0	0	0	0	21825300	60030	0	0	0	0	49	44	5000	38	0.76	0.98	0.90
50	205	287	28000	34227835	98823	0	0	0	0	17154189	49562	0	0	0	0	49	35	5000	37	1.06	1.03	0.92
50	168	278	30000	36872459	107416	0	0	0	0	18503844	53943	0	0	0	0	49	28	5000	27	1.20	1.06	0.94
50	163	263	32000	24227689	78276	0	0	0	0	12169694	39356	0	0	0	0	49	30	5000	25	1.08	1.04	0.93
50	187	295	34000	33320140	106055	0	0	0	0	16728626	53282	0	0	0	0	49	35	5000	26	1.77	1.19	0.99
50	219	380	36000	41633367	116869	0	0	0	0	20874847	58656	0	0	0	0	49	44	5000	38	2.23	1.40	1.07
50	187	292	38000	40570396	122303	0	0	0	0	20345900	61378	0	0	0	0	49	43	5000	33	1.61	1.36	1.07
50	166	267	40000	42642564	130315	0	0	0	0	21383219	65399	0	0	0	0	49	37	5000	36	1.25	1.26	1.05
50	162	248	42000	34337356	115713	0	0	0	0	17213884	58061	0	0	0	0	49	41	5000	32	1.57	1.29	1.07
50	162	260	44000	50191079	146572	0	0	0	0	25167234	73546	0	0	0	0	49	44	5000	37	0.73	1.11	1.02
50	163	262	46000	43003942	138870	0	0	0	0	21570287	69706	0	0	0	0	49	45	5001	37	0.69	1.02	0.99
50	162	263	48000	49780974	152166	0	0	0	0	24956064	76355	0	0	0	0	49	47	5001	39	0.64	0.92	0.96
50	160	258	50000	52326505	153155	0	0	0	0	26231537	76851	0	0	0	0	49	49	5000	34	0.75	0.88	0.94
50	162	257	52000	39378160	129661	0	0	0	0	19776968	65160	0	0	0	0	49	44	5000	28	1.00	0.89	0.93
50	160	258	54000	50796537	157225	0	0	0	0	25476276	78895	0	0	0	0	49	49	5000	41	0.79	0.84	0.91
50	161	255	56000	58578080	167934	0	0	0	0	29362564	84252	0	0	0	0	49	41	5000	38	0.51	0.73	0.87
50	161	256	58000	51669364	160788	0	0	0	0	25913504	80679	0	0	0	0	49	49	5001	40	0.25	0.60	0.81
