node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	duration_ms	rtt_avg_ms	load1	load5	load15
50	308	364	0	22719279	64277	0	0	0	0	6667947	19291	0	0	0	0	49	38	5000	20	3.59	2.74	2.59
50	179	310	2000	16576707	55521	0	0	0	0	5071091	17317	0	0	0	0	49	26	5000	53	9.61	4.09	3.04
50	177	283	4000	18075208	57440	0	0	0	0	5394304	17826	0	0	0	0	49	40	5000	19	14.34	5.32	3.45
50	178	287	6000	16398342	55046	0	0	0	0	4814404	16839	0	0	0	0	49	34	5001	19	17.05	6.35	3.82
50	183	314	8000	19465745	67145	0	0	0	0	5986858	21077	0	0	0	0	49	34	5001	21	17.73	7.07	4.10
50	182	281	10000	21334758	69775	0	0	0	0	6362117	21515	0	0	0	0	49	47	5000	22	17.12	7.46	4.27
50	179	255	12000	20960096	71908	0	0	0	0	6318503	22265	0	0	0	0	49	49	5000	37	13.74	7.29	4.28
50	186	281	14000	22227680	75071	0	0	0	0	6743101	23415	0	0	0	0	49	41	5000	19	10.19	6.90	4.21
50	179	280	16000	25176928	86496	0	0	0	0	7812361	27511	0	0	0	0	49	33	5000	20	7.03	6.41	4.12
50	186	352	18000	28026355	92247	0	0	0	0	8448954	28542	0	0	0	0	49	48	5001	26	5.38	6.07	4.07
50	181	287	20000	26512397	87928	0	0	0	0	7948953	27255	0	0	0	0	49	49	5000	21	4.42	5.75	4.03
50	182	291	22000	28506250	91689	0	0	0	0	8330713	28014	0	0	0	0	49	47	5000	19	9.79	6.96	4.48
50	183	276	24000	31289612	97792	0	0	0	0	9284630	30151	0	0	0	0	49	48	5000	18	6.61	6.48	4.40
50	184	297	26000	32594379	101907	0	0	0	0	9805409	31614	0	0	0	0	49	49	5001	22	4.63	6.03	4.32
50	314	292	28000	28558838	92599	0	0	0	0	8466342	28710	0	0	0	0	49	49	5000	25	3.65	5.63	4.25
50	181	288	30000	31469691	100253	0	0	0	0	9583674	31480	0	0	0	0	49	43	5000	20	6.86	6.27	4.53
50	177	280	32000	32207644	104364	0	0	0	0	9911501	33154	0	0	0	0	49	48	5018	22	4.00	5.61	4.38
50	187	292	34000	34244300	108887	0	0	0	0	10227711	33642	0	0	0	0	49	49	5000	18	12.93	7.64	5.11
50	185	331	36000	34130085	113868	0	0	0	0	10153941	35159	0	0	0	0	49	49	5000	23	7.07	6.82	4.95
50	189	286	38000	36765819	126543	0	0	0	0	11120660	39359	0	0	0	0	49	49	5001	20	4.49	6.19	4.83
50	186	293	40000	33443221	113411	0	0	0	0	10089577	35487	0	0	0	0	49	47	5001	22	2.51	5.42	4.63
50	183	276	42000	33409766	106999	0	0	0	0	10123467	33732	0	0	0	0	49	49	5000	21	2.22	4.86	4.48
50	187	294	44000	34458922	113088	0	0	0	0	10487376	35763	0	0	0	0	49	47	5000	12	2.47	4.53	4.38
50	183	288	46000	34498120	112045	0	0	0	0	10397390	35187	0	0	0	0	49	49	5000	24	1.64	3.95	4.19
50	186	298	48000	34182357	116302	0	0	0	0	10280617	36475	0	0	0	0	49	49	5000	25	7.97	5.60	4.76
50	186	285	50000	35997887	121775	0	0	0	0	10783056	38068	0	0	0	0	49	49	5001	27	4.28	4.93	4.58
50	180	290	52000	33862833	112193	0	0	0	0	10314931	35506	0	0	0	0	49	47	5000	22	2.18	4.21	4.35
50	183	272	54000	31519842	112603	0	0	0	0	9494617	35294	0	0	0	0	49	49	5000	15	2.11	3.82	4.21
50	164	258	56000	40113302	135615	0	0	0	0	12216182	42894	0	0	0	0	49	47	5001	22	1.00	3.14	3.94
50	163	252	58000	40457232	136465	0	0	0	0	12320662	43087	0	0	0	0	49	49	5000	25	1.21	2.73	3.74
