node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	305268	356	7010906	21026	0	0	0	0	2038312	6071	0	0	0	0	48	48	1.1097708333333334	0.75	0.99	1.11
64	306851	357	11295260	26700	0	0	0	0	3207360	7504	0	0	0	0	63	63	0.9411746031746029	0.56	0.9	1.05
81	308595	454	17773534	36131	0	0	0	0	4971142	9987	0	0	0	0	80	80	1.1305375	0.72	1.0	1.09
100	310573	555	26722582	51001	0	0	0	0	7404468	14012	0	0	0	0	99	99	1.0034848484848484	0.68	0.98	1.09
121	312737	656	39071198	66547	0	0	0	0	10710418	18041	0	0	0	0	120	120	1.4519749999999998	0.75	0.96	1.07
144	315105	758	55933894	90025	0	0	0	0	15213714	24262	0	0	0	0	143	143	1.4010279720279726	0.77	1.03	1.12
169	317601	856	76364180	106534	0	0	0	0	20644649	28572	0	0	0	0	168	168	1.5050476190476192	1.23	1.32	1.27
196	320409	957	103897839	142393	0	0	0	0	27918258	37974	0	0	0	0	195	195	1.7184769230769235	0.98	1.35	1.38
225	323341	1162	137842876	181140	0	0	0	0	36900770	48178	0	0	0	0	224	224	1.6694196428571442	1.36	1.53	1.52
256	326529	1257	179382657	222338	0	0	0	0	47811556	58766	0	0	0	0	255	255	2.3484980392156865	1.43	1.6	1.62
289	329926	1457	229716548	268568	0	0	0	0	60983447	70854	0	0	0	0	288	288	2.3300937500000005	1.66	1.75	1.77
