node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	305226	456	133617120	724120	0	0	0	0	38896690	210125	0	0	0	0	48	48	1.3240416666666663	0.59	1.33	1.67
64	306776	457	227192826	1038599	0	0	0	0	64781978	295413	0	0	0	0	63	63	1.240857142857143	0.97	0.97	1.39
81	308526	558	364919646	1453383	0	0	0	0	102421726	407231	0	0	0	0	80	80	1.288437499999999	0.57	0.83	1.21
100	310441	760	558064978	1983201	0	0	0	0	154694964	549072	0	0	0	0	99	99	0.9202929292929297	0.45	0.73	1.05
121	312603	862	821561482	2658409	0	0	0	0	225462512	728946	0	0	0	0	120	120	1.1780000000000002	0.7	0.88	1.06
144	314887	959	1157532284	3457306	0	0	0	0	315037100	940378	0	0	0	0	143	143	1.3336503496503496	1.43	1.35	1.24
169	317492	1159	1076184030	3461315	0	0	0	0	290774158	935793	0	0	0	0	168	168	1.538625	1.64	1.64	1.46
196	320477	1361	957960404	3475600	0	0	0	0	257147012	934586	0	0	0	0	195	195	1.859974358974359	1.78	1.89	1.69
225	323385	1559	840273450	3556099	0	0	0	0	224171520	951260	0	0	0	0	224	219	2.0391415525114156	1.76	1.79	1.75
256	326453	1762	731389664	3672274	0	0	0	0	193839194	976819	0	0	0	0	255	213	2.9523004694835673	1.76	2.03	1.97
289	330169	2059	671330648	3888858	0	0	0	0	177118902	1030265	0	2049	0	0	288	278	3.8259208633093533	1.93	2.31	2.28
