node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	305356	354	20790	495	0	0	0	0	6048	144	0	0	0	0	48	0	0.0	0.69	1.48	1.99
64	306874	454	27720	660	0	0	0	0	7938	189	0	0	0	0	63	0	0.0	0.88	1.0	1.6
81	308669	555	35784	852	0	0	0	0	10080	240	0	0	0	0	80	0	0.0	0.49	0.86	1.38
100	310667	656	44856	1068	0	0	0	0	12474	297	0	0	0	0	99	0	0.0	1.16	1.1	1.33
121	312761	756	54936	1308	0	0	0	0	15120	360	0	0	0	0	120	0	0.0	0.37	0.75	1.12
144	315196	856	66024	1572	0	0	0	0	18018	429	0	0	0	0	143	0	0.0	0.62	0.77	1.03
169	317778	1059	78120	1860	0	0	0	0	21168	504	0	0	0	0	168	0	0.0	0.72	0.8	0.98
196	320531	1157	91224	2172	0	0	0	0	24570	585	0	0	0	0	195	0	0.0	0.8	1.02	1.08
225	323560	1361	105336	2508	0	0	0	0	28224	672	0	0	0	0	224	0	0.0	0.7	1.12	1.19
256	326744	1560	120456	2868	0	0	0	0	32130	765	0	0	0	0	255	0	0.0	1.11	1.44	1.43
289	330073	1863	136584	3252	0	0	0	0	36288	864	0	0	0	0	288	0	0.0	1.23	1.54	1.56
