node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	305297	253	85226	1091	0	0	0	0	24806	317	0	0	0	0	48	3	0.32299999999999995	0.59	1.07	1.39
64	306886	360	113234	1443	0	0	0	0	32350	413	0	0	0	0	63	4	0.38950000000000007	0.52	0.62	1.08
81	308690	354	142952	1824	0	0	0	0	40026	511	0	0	0	0	80	4	0.37675	0.45	0.46	0.85
100	310647	456	176182	2249	0	0	0	0	48708	622	0	0	0	0	99	4	0.363	0.6	0.69	0.85
121	312853	460	214998	2749	0	0	0	0	59026	755	0	0	0	0	120	4	0.4425	0.57	0.7	0.83
144	315251	559	254852	3258	0	0	0	0	69300	886	0	0	0	0	143	4	0.36624999999999996	0.46	0.59	0.75
169	317918	557	299384	3828	0	0	0	0	81000	1036	0	0	0	0	168	4	0.3685	0.44	0.76	0.85
196	320661	656	347216	4440	0	0	0	0	93356	1194	0	0	0	0	195	4	0.5055000000000001	0.4	0.69	0.85
225	323674	761	399842	5115	0	0	0	0	106928	1368	0	0	0	0	224	4	0.39849999999999997	0.51	0.76	0.9
256	326872	856	456632	5844	0	0	0	0	121786	1559	0	0	0	0	255	4	0.33925	0.55	0.76	0.92
289	330426	956	516256	6608	0	0	0	0	137160	1756	0	0	0	0	288	4	0.46499999999999997	0.61	0.92	1.05
