node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	305161	452	20330472	32720	0	0	0	0	5888034	9483	0	0	0	0	48	48	0.7335625	1.18	1.75	1.52
64	306678	558	33720342	45785	0	0	0	0	9574390	13009	0	0	0	0	63	63	0.5959206349206349	1.18	1.46	1.46
81	308445	656	52942030	65531	0	0	0	0	14793590	18321	0	0	0	0	80	80	0.6586625	2.47	2.08	1.75
100	310364	755	79346768	88956	0	0	0	0	21915874	24587	0	0	0	0	99	99	0.5327777777777776	1.43	2.05	1.92
121	312437	957	114064246	123039	0	0	0	0	31205174	33649	0	0	0	0	120	120	0.7117250000000003	1.67	2.26	2.1
144	314731	1157	158484058	160269	0	0	0	0	43004752	43526	0	0	0	0	143	143	0.5677202797202797	3.34	3.01	2.55
169	317285	1359	214924152	209254	0	0	0	0	57927172	56418	0	0	0	0	168	168	0.4702738095238097	5.21	3.77	2.95
196	320041	1560	284836356	265980	0	0	0	0	76340094	71283	0	0	0	0	195	195	0.42291794871794863	2.22	3.48	3.14
225	322882	1860	370666428	337284	0	0	0	0	98838088	89932	0	0	0	0	224	224	0.3471383928571427	4.49	3.62	3.28
256	326069	2158	473823014	428891	0	0	0	0	125819068	113806	0	0	0	0	255	255	0.43441176470588233	3.15	3.65	3.43
289	329384	2460	594962700	524230	0	0	0	0	157431052	138620	0	0	0	0	288	288	0.3552847222222222	4.58	3.64	3.44
