node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	305262	254	85016	1088	0	0	0	0	24946	319	0	0	0	0	48	3	0.29866666666666664	0.43	1.65	2.45
64	306860	353	114144	1456	0	0	0	0	32420	414	0	0	0	0	63	4	0.406	0.32	0.82	1.82
81	308630	354	145402	1859	0	0	0	0	40726	521	0	0	0	0	80	4	0.3475	0.16	0.54	1.4
100	310693	456	176952	2260	0	0	0	0	49058	627	0	0	0	0	99	4	0.39875000000000005	0.3	0.43	1.06
121	312860	460	215348	2754	0	0	0	0	59096	756	0	0	0	0	120	4	0.348	0.5	0.64	0.98
144	315271	554	256462	3281	0	0	0	0	69930	895	0	0	0	0	143	4	0.3865	0.66	0.79	0.96
169	317885	656	299804	3834	0	0	0	0	81280	1040	0	0	0	0	168	4	0.35825	0.45	0.63	0.86
196	320663	756	347706	4447	0	0	0	0	93566	1197	0	0	0	0	195	4	0.384	0.33	0.63	0.83
225	323662	762	401032	5132	0	0	0	0	107418	1375	0	0	0	0	224	4	0.3985	0.61	0.87	0.95
256	326817	857	457052	5850	0	0	0	0	122066	1563	0	0	0	0	255	4	0.32125000000000004	0.36	0.75	0.94
289	330274	1060	515206	6593	0	0	0	0	136810	1751	0	0	0	0	288	4	0.40275	0.7	0.97	1.07
