time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
12315	50	150	200	16	2000	0
25332	50	172	200	139	2000	0
37412	50	163	200	163	2000	0
50965	50	141	200	140	2001	0
63952	50	145	200	132	2000	0
76854	50	149	200	140	2000	0
89868	50	152	200	141	2000	0
102628	50	163	200	152	2000	0
114704	50	162	200	160	2000	0
127720	50	158	200	127	2012	0
139903	50	153	200	151	2000	0
151998	50	152	200	152	2000	0
164867	50	169	200	152	2001	0
177834	50	164	200	110	2000	0
189938	50	157	200	156	2000	0
202929	50	171	200	124	2000	0
215011	50	164	200	161	2000	0
228049	50	153	200	136	2000	0
241091	50	156	200	144	2000	0
254028	50	155	200	123	2000	0
266848	50	162	200	157	2001	0
279836	50	148	200	139	2036	0
292762	50	161	200	154	2000	0
306012	50	176	200	160	2000	0
319031	50	144	200	142	2000	0
331806	50	161	200	141	2000	0
344992	50	155	200	120	2000	0
358009	50	146	200	143	2001	0
370957	50	155	200	147	2000	0
383960	50	140	200	133	2000	0
