time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
13002	50	108	200	107	2000	6
26096	50	106	200	100	2069	4
39678	50	108	200	99	2001	7
52719	50	88	200	59	2000	14
65795	50	105	200	92	2003	6
78825	50	72	200	56	2000	2
91884	50	79	200	62	2000	8
104940	50	74	200	58	2001	28
117995	50	76	200	62	2006	25
131065	50	65	200	44	2001	13
144108	50	80	200	38	2001	25
157170	50	76	200	44	2000	7
170268	50	67	200	42	2000	9
183595	50	70	200	42	2008	17
196647	50	66	200	36	2000	2
209709	50	65	200	52	2001	21
223208	50	71	200	47	2003	2
236253	50	75	200	46	2000	4
249298	50	61	200	43	2000	32
262345	50	65	200	44	2000	40
275383	50	84	200	48	2000	60
288440	50	77	200	50	2000	32
301584	50	78	200	53	2068	47
314631	50	70	200	52	2001	35
327664	50	76	200	56	2000	51
340736	50	68	200	55	2014	37
354669	50	62	200	31	2001	32
367732	50	75	200	33	2036	36
380920	50	72	200	42	2158	10
394026	50	69	200	33	2000	1
