time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
13400	50	169	200	20	2000	0
26701	50	143	200	99	2000	0
40208	50	149	200	109	2000	0
53279	50	142	200	51	2000	0
66338	50	173	200	88	2000	0
79385	50	180	200	98	2001	0
92306	50	174	200	125	2001	0
105372	50	90	200	61	2001	0
118393	50	155	200	61	2000	0
131859	50	140	200	68	2000	0
145235	50	75	200	51	2000	0
158263	50	141	200	84	2000	0
171359	50	144	200	105	2000	0
184410	50	143	200	110	2003	0
197433	50	143	200	114	2000	0
211322	50	65	200	62	2000	0
224325	50	66	200	51	2000	0
237335	50	70	200	58	2000	0
250348	50	165	200	72	2000	0
263386	50	160	200	97	2000	0
276330	50	192	200	103	2000	0
289678	50	164	200	77	2000	0
302923	50	174	200	97	2000	0
316063	50	151	200	114	2000	0
329089	50	168	200	66	2001	0
342336	50	191	200	103	2000	0
355292	50	180	200	133	2000	0
368344	50	182	200	106	2001	0
381405	50	189	200	90	2000	0
394402	50	193	200	89	2000	0
