time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
13040	50	169	200	88	2000	0
26514	50	143	200	143	2001	0
39497	50	149	200	149	2000	0
52514	50	142	200	102	2000	0
65533	50	173	200	173	2000	0
78260	50	180	200	171	2000	0
91200	50	174	200	174	2001	0
104467	50	90	200	90	2000	0
117203	50	155	200	139	2000	0
130640	50	140	200	119	2000	0
144128	50	75	200	74	2000	0
157101	50	141	200	138	2000	0
170636	50	144	200	144	2001	0
183583	50	143	200	140	2000	0
196403	50	143	200	141	2000	0
209682	50	65	200	65	2000	0
222717	50	66	200	65	2000	0
235747	50	70	200	70	2000	0
248744	50	165	200	162	2000	0
261704	50	160	200	160	2000	0
274366	50	192	200	171	2000	0
287429	50	164	200	151	2000	0
300244	50	174	200	174	2000	0
313618	50	151	200	144	2000	0
326629	50	168	200	168	2000	0
339279	50	191	200	189	2001	0
352511	50	180	200	169	2001	0
365277	50	182	200	181	2000	0
378233	50	189	200	179	2000	0
390969	50	193	200	193	2001	0
