time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
13031	50	75	200	0	2000	0
26086	50	179	200	0	2000	0
39123	50	184	200	136	2001	2
52038	50	195	200	181	2000	5
65077	50	195	200	115	2000	1
78003	50	190	200	154	2000	2
91918	50	170	200	107	2000	1
105495	50	193	200	127	2000	2
118523	50	178	200	125	2001	2
131627	50	194	200	107	2000	6
145431	50	193	200	121	2004	6
158685	50	169	200	91	2001	1
171635	50	194	200	132	2000	5
184669	50	200	200	150	2001	2
198358	50	179	200	93	2000	1
211286	50	189	200	180	2000	2
224221	50	189	200	164	2000	2
237260	50	200	200	121	2000	1
250645	50	183	200	102	2001	1
264082	50	191	200	152	2002	2
277092	50	189	200	176	2000	2
290109	50	176	200	140	2000	1
303129	50	143	200	119	2000	1
316898	50	147	200	138	2000	2
329888	50	174	200	124	2000	6
342888	50	136	200	95	2000	1
355905	50	140	200	98	2000	2
368922	50	149	200	142	2000	1
381948	50	143	200	125	2000	5
394964	50	140	200	134	2000	1
