time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
13137	50	178	200	55	2064	100
26237	50	158	200	27	2026	101
41099	50	150	200	31	3789	83
54978	50	166	200	49	2820	120
68672	50	181	200	43	2619	59
82002	50	179	200	41	2255	31
95383	50	92	200	19	2021	31
108787	50	185	200	44	2313	38
122079	50	149	200	32	2222	30
136714	50	180	200	33	3577	34
150231	50	164	200	56	2425	79
164238	50	146	200	39	2961	19
177522	50	136	200	41	2214	27
191440	50	158	200	43	2860	29
204818	50	153	200	46	2341	30
218006	50	168	200	46	2118	53
232452	50	154	200	43	3383	17
246249	50	199	200	43	2716	41
259704	50	200	200	46	2362	49
272905	50	155	200	33	2143	8
286350	50	160	200	45	2386	7
299922	50	200	200	40	2509	55
314091	50	164	200	46	3071	12
327902	50	181	200	40	2779	17
341500	50	184	200	40	2538	26
357886	50	150	200	28	5295	36
372557	50	129	200	43	3568	38
387520	50	136	200	48	3921	25
404708	50	181	200	40	6106	70
420139	50	98	200	38	4353	22
