time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
12057	50	0	128	128	8
25089	50	0	110	64	5
38131	50	0	120	34	5
51124	50	0	112	47	7
64204	50	0	129	77	7
77193	50	0	145	64	20
90168	50	0	136	94	12
103241	50	0	140	74	18
116212	50	0	130	79	5
129235	50	0	131	90	7
142192	50	0	135	96	11
155208	50	0	127	82	19
168244	50	0	133	90	12
181283	50	0	127	57	4
194308	50	0	121	78	11
207341	50	0	119	55	12
220385	50	0	118	56	47
233455	50	0	131	75	50
246496	50	0	125	67	61
259527	50	0	114	46	63
272737	50	0	130	46	9
285765	50	0	117	36	17
298804	50	0	126	51	10
311822	50	0	127	54	32
324856	50	0	135	43	10
337878	50	0	138	55	49
350924	50	0	125	34	58
364015	50	0	137	62	16
377064	50	0	142	53	41
390187	50	0	131	38	29
