time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
12046	50	0	149	0	0
24089	50	0	111	109	0
36972	50	0	121	106	0
50339	50	0	116	61	0
63372	50	0	144	66	0
76406	50	0	159	110	0
89290	50	0	154	130	0
101631	50	0	62	57	0
114663	50	0	134	58	0
127674	50	0	119	42	0
140486	50	0	51	35	0
153482	50	0	122	113	0
166511	50	0	121	99	0
180124	50	0	113	92	0
193119	50	0	114	83	0
205149	50	0	34	29	0
217839	50	0	40	26	0
230848	50	0	43	35	0
243867	50	0	142	48	0
256940	50	0	140	92	0
269931	50	0	170	97	0
282932	50	0	139	85	0
295913	50	0	145	93	0
308868	50	0	130	113	0
322215	50	0	144	55	0
335284	50	0	163	102	0
348215	50	0	150	110	0
361252	50	0	157	92	0
374385	50	0	161	113	0
387386	50	0	174	94	0
