time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
33046	50	108	200	20	2000	0
66076	50	106	200	34	2000	0
99116	50	108	200	22	2000	0
132660	50	88	200	22	2001	0
165707	50	105	200	21	2000	0
198724	50	72	200	28	2000	0
231748	50	79	200	26	2000	0
264795	50	74	200	22	2000	0
297814	50	76	200	23	2000	0
330840	50	65	200	24	2000	0
363891	50	80	200	24	2000	0
396928	50	76	200	30	2000	0
429981	50	67	200	23	2000	0
463011	50	70	200	18	2000	0
496044	50	66	200	21	2000	0
529076	50	65	200	20	2000	0
562612	50	71	200	23	2000	0
595634	50	75	200	25	2000	0
628662	50	61	200	24	2000	0
661702	50	65	200	24	2000	0
694728	50	84	200	29	2001	0
727764	50	77	200	29	2000	0
760833	50	78	200	26	2000	0
793881	50	70	200	22	2000	0
827213	50	76	200	20	2000	0
860241	50	68	200	23	2000	0
893269	50	62	200	19	2000	0
926305	50	75	200	32	2000	0
959356	50	72	200	22	2000	0
992406	50	69	200	19	2001	0
