time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
32064	50	0	128	128	0
64115	50	0	110	109	0
96165	50	0	120	120	0
128193	50	0	112	112	0
160259	50	0	129	129	0
192294	50	0	145	145	0
224344	50	0	136	136	0
256379	50	0	140	140	0
288408	50	0	130	130	0
320469	50	0	131	131	0
352524	50	0	135	135	0
384575	50	0	127	127	0
416603	50	0	133	133	0
448659	50	0	127	127	0
480710	50	0	121	121	0
512758	50	0	119	119	0
544788	50	0	118	118	0
576821	50	0	131	131	0
608854	50	0	125	125	0
640884	50	0	114	114	0
672950	50	0	130	130	0
704998	50	0	117	117	0
737047	50	0	126	126	0
769073	50	0	127	127	0
801122	50	0	135	135	0
833154	50	0	138	138	0
866000	50	0	125	122	0
898048	50	0	137	137	0
930075	50	0	142	142	0
962126	50	0	131	131	0
