time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
34119	50	0	128	29	216
67153	50	0	110	81	23
100194	50	0	120	87	29
133123	50	0	112	89	13
166186	50	0	129	95	15
199145	50	0	145	129	18
232039	50	0	136	121	15
264952	50	0	140	114	10
297963	50	0	130	105	9
331061	50	0	131	108	9
364077	50	0	135	100	6
397112	50	0	127	97	10
430133	50	0	133	99	9
463185	50	0	127	100	7
496184	50	0	121	96	10
529246	50	0	119	90	10
562278	50	0	118	89	9
595302	50	0	131	92	7
628492	50	0	125	80	5
661562	50	0	114	64	9
694532	50	0	130	80	9
727600	50	0	117	67	7
760658	50	0	126	77	9
793739	50	0	127	81	8
828404	50	0	135	44	28
861483	50	0	138	54	8
894560	50	0	125	50	9
927578	50	0	137	79	12
960638	50	0	142	63	14
993697	50	0	131	76	9
