time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
32053	50	0	149	133	2
64079	50	0	111	111	1
96126	50	0	121	121	1
128156	50	0	116	116	2
160225	50	0	144	144	2
192284	50	0	159	159	2
224348	50	0	154	154	2
256394	50	0	62	62	1
289404	50	0	134	123	2
321833	50	0	119	115	2
353876	50	0	51	51	1
385910	50	0	122	122	2
417961	50	0	121	121	2
450017	50	0	113	113	2
482049	50	0	114	114	2
514094	50	0	34	34	2
546148	50	0	40	40	1
578191	50	0	43	43	2
610214	50	0	142	142	2
642265	50	0	140	140	2
675303	50	0	170	168	2
707368	50	0	139	139	2
739428	50	0	145	145	2
771478	50	0	130	130	2
803527	50	0	144	144	2
836439	50	0	163	152	2
868499	50	0	150	150	3
900844	50	0	157	155	3
932906	50	0	161	160	2
964986	50	0	174	174	2
