node_count	time_ms	packets_send	packets_received	rtt_avg_ms
50	41241	200	195	1
50	83360	200	182	0
50	125229	200	173	1
50	167434	200	165	0
50	209527	200	169	1
50	251779	200	172	0
50	293074	200	200	0
50	334360	200	200	0
50	376547	200	160	0
50	418449	200	195	0
50	460430	200	164	0
50	502282	200	170	0
50	544429	200	158	0
50	586461	200	158	0
50	628314	200	148	0
50	670581	200	159	0
50	712803	200	177	0
50	754454	200	181	0
50	796582	200	182	0
50	838845	200	179	0
50	880131	200	179	0
50	921444	200	191	0
50	963566	200	185	0
50	1005638	200	193	0
50	1047550	200	181	0
50	1089423	200	185	0
50	1131291	200	185	0
50	1172643	200	185	0
50	1214736	200	186	0
50	1256887	200	184	0
