time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
33053	50	0	148	0	0
66103	50	0	122	0	0
99154	50	0	129	0	0
132225	50	0	134	0	0
165253	50	0	43	0	0
198302	50	0	132	0	0
231355	50	0	139	0	0
264436	50	0	94	0	0
297450	50	0	45	0	0
330513	50	0	129	0	0
363576	50	0	123	0	0
396632	50	0	133	0	0
429687	50	0	125	0	0
462744	50	0	141	0	0
495806	50	0	159	0	0
528842	50	0	155	0	0
561897	50	0	136	0	0
594956	50	0	146	0	0
628038	50	0	149	0	0
661083	50	0	155	0	0
694147	50	0	143	0	0
727201	50	0	165	0	0
760296	50	0	159	0	0
793351	50	0	139	0	0
826432	50	0	154	0	0
859498	50	0	160	0	0
892561	50	0	159	0	0
925624	50	0	164	0	0
958689	50	0	167	0	0
991773	50	0	170	0	0
