time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
22559	20	100	100	72	1068	0
44285	20	100	100	90	1009	0
65323	20	100	100	100	1001	0
86342	20	100	100	100	1001	0
107377	20	100	100	100	1000	0
128416	20	100	100	100	1000	0
149449	20	100	100	100	1000	0
171561	20	100	100	98	1000	0
193320	20	100	100	99	1000	0
215312	20	100	100	92	1009	0
237343	20	100	100	95	1000	0
259250	20	100	100	85	1000	0
281446	20	100	100	47	1001	0
302484	20	100	100	100	1000	0
323538	20	100	100	100	1000	0
344573	20	100	100	100	1000	0
365609	20	100	100	100	1001	0
386643	20	100	100	100	1000	0
408476	20	100	100	95	1000	0
429513	20	100	100	100	1000	0
