time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
22024	20	100	100	0	1000	0
43753	20	100	100	90	1000	0
64793	20	100	100	100	1000	0
85835	20	100	100	100	1000	0
106870	20	100	100	100	1000	0
127904	20	100	100	100	1001	0
148939	20	100	100	100	1000	0
170345	20	100	100	98	1001	0
191388	20	100	100	100	1001	0
213376	20	100	100	92	1000	0
235406	20	100	100	95	1000	0
257278	20	100	100	94	1000	0
279430	20	100	100	47	1000	0
300468	20	100	100	100	1000	0
321505	20	100	100	100	1000	0
342541	20	100	100	100	1001	0
363556	20	100	100	100	1000	0
384592	20	100	100	100	1000	0
406423	20	100	100	95	1000	0
427461	20	100	100	100	1000	0
