time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
21033	20	100	100	87	1000	0
42069	20	100	100	90	1000	0
63106	20	100	100	100	1000	0
84145	20	100	100	100	1000	0
105180	20	100	100	100	1000	0
126215	20	100	100	100	1000	0
147250	20	100	100	100	1000	0
168286	20	100	100	100	1000	0
189319	20	100	100	100	1001	0
211304	20	100	100	92	1000	0
233337	20	100	100	95	1000	0
255212	20	100	100	94	1000	0
277484	20	100	100	47	1001	0
298525	20	100	100	100	1000	0
319563	20	100	100	100	1001	0
340595	20	100	100	100	1000	0
361629	20	100	100	100	1000	0
382664	20	100	100	100	1001	0
403700	20	100	100	100	1000	0
424735	20	100	100	100	1001	0
