time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
22400	20	100	100	85	1422	24
44631	20	100	100	85	1200	6
66692	20	100	100	62	1079	2
88751	20	100	100	69	1031	4
110846	20	100	100	61	1076	3
132909	20	100	100	69	1020	12
155250	20	100	100	59	1006	0
177308	20	100	100	42	1027	2
199380	20	100	100	59	1046	1
221467	20	100	100	73	1076	1
243501	20	100	100	45	1000	0
265812	20	100	100	41	1301	2
287821	20	100	100	37	1000	0
309883	20	100	100	62	1041	2
332107	20	100	100	65	1037	1
354139	20	100	100	54	1019	1
376163	20	100	100	67	1001	0
398201	20	100	100	63	1008	0
420219	20	100	100	35	1000	0
442252	20	100	100	58	1000	0
