time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
21037	20	100	100	87	1000	0
42085	20	100	100	90	1011	0
64016	20	100	100	90	1003	0
86082	20	100	100	72	1035	0
107688	20	100	100	82	1007	0
129167	20	100	100	94	1000	0
150226	20	100	100	99	1000	0
171670	20	100	100	73	1000	0
194280	20	100	100	85	1001	0
215320	20	100	100	92	1000	0
237552	20	100	100	62	1000	0
259268	20	100	100	48	1000	0
281098	20	100	100	47	1001	0
302137	20	100	100	100	1000	0
323240	20	100	100	92	1000	0
345250	20	100	100	82	1000	0
366289	20	100	100	100	1000	0
387324	20	100	100	100	1000	0
409522	20	100	100	50	1001	0
431554	20	100	100	91	1001	0
