time_ms	node_count	valid_path_count	packets_send	packets_received	duration_ms	rtt_avg_ms
22041	20	100	100	61	1014	17
44364	20	100	100	57	1292	4
66371	20	100	100	42	1000	3
88405	20	100	100	34	1002	43
110432	20	100	100	20	1000	2
132462	20	100	100	26	1000	1
154490	20	100	100	22	1001	1
176518	20	100	100	16	1000	6
198547	20	100	100	38	1000	16
220546	20	100	100	60	1000	24
242579	20	100	100	27	1000	6
264611	20	100	100	23	1000	10
286641	20	100	100	9	1000	13
309539	20	100	100	19	1000	10
331614	20	100	100	19	1039	17
353646	20	100	100	22	1000	3
375693	20	100	100	32	1008	15
397725	20	100	100	42	1000	39
419755	20	100	100	33	1001	8
441793	20	100	100	26	1004	1
