load_avg1	load_avg5	load_avg15	node_count	packets_send	packets_received	wait_ms	duration_ms	rtt_avg_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns
0.40	1.93	2.06	4	2	2	60000.0	60038	0	49536	444	0	0	0	0	24838	223	0	0	0	0
0.06	1.19	1.76	9	6	6	60000.0	60002	0	216956	1670	0	0	0	0	79636	612	0	0	0	0
0.05	0.75	1.50	16	12	12	60000.0	60009	0	546791	3573	0	0	0	0	179339	1164	0	0	0	0
0.15	0.54	1.28	25	20	20	60000.0	60006	0	1167838	6474	0	0	0	0	361108	1986	0	0	0	0
0.24	0.48	1.11	36	30	30	60000.0	60003	0	2161843	10222	0	0	0	0	641677	3001	0	0	0	0
0.28	0.46	0.96	49	42	42	60000.0	60002	0	3875550	16695	0	0	0	0	1120949	4800	0	0	0	0
0.45	0.54	0.89	64	56	56	60000.0	60002	0	6261220	23886	0	0	0	0	1782393	6758	0	0	0	0
0.38	0.60	0.84	81	72	72	60000.0	60002	0	9881218	33029	0	0	0	0	2765849	9171	0	0	0	0
0.38	0.61	0.80	100	90	90	60000.0	60001	0	14857797	48069	0	0	0	0	4107431	13191	0	0	0	0
0.39	0.67	0.80	121	110	110	60000.0	60001	0	21546610	62534	0	0	0	0	5899818	17013	0	0	0	0
0.46	0.72	0.83	144	132	132	60000.0	60001	0	31082889	84882	0	0	0	0	8438251	22876	0	0	0	0
0.55	0.77	0.86	169	156	156	60000.0	60000	0	42731202	104560	0	0	0	0	11535471	28068	0	0	0	0
0.66	0.84	0.93	196	182	182	60000.0	60001	0	58242339	135431	0	0	0	0	15667201	36176	0	0	0	0
