node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
4	300269	1372	80012	702	0	0	0	0	40006	351	0	0	0	0	4	4	0	0.00	0.88	3.82
9	300573	3146	327680	2174	0	0	0	0	120922	801	0	0	0	0	9	9	0	0.00	0.11	1.93
16	301032	6103	894374	4637	0	0	0	0	296020	1538	0	0	0	0	16	16	0	0.00	0.03	0.98
25	301703	9279	1916229	7805	0	0	0	0	593980	2387	0	0	0	0	25	25	0	0.00	0.05	0.53
36	302386	13799	3818317	12855	0	0	0	0	1135714	3781	0	0	0	0	36	36	0	0.00	0.04	0.29
49	303243	18959	6956636	21656	0	0	0	0	2016708	6190	0	0	0	0	49	49	0	0.11	0.10	0.21
64	304535	25011	11460479	29472	0	0	0	0	3261092	8311	0	0	0	0	64	64	0	0.09	0.12	0.21
81	306491	31847	17892252	38770	0	0	0	0	5014936	10764	0	0	0	0	81	81	0	0.08	0.10	0.21
100	308092	41103	27374061	56112	0	0	0	0	7578249	15346	0	0	0	0	100	100	0	0.27	0.21	0.27
121	310200	48702	39321973	70638	0	0	0	0	10808269	19167	0	0	0	0	121	121	0	0.49	0.32	0.36
144	312852	57111	56024713	97300	0	0	0	0	15254738	26237	0	0	0	0	144	144	1	0.26	0.34	0.56
169	314759	68582	76970922	118430	0	0	0	0	20799808	31689	0	0	0	0	169	169	1	0.31	0.26	0.46
196	316991	80307	104087185	154247	0	0	0	0	27960192	41107	0	0	0	0	196	196	1	0.38	0.29	0.46
225	319172	90430	138381761	199475	0	0	0	0	37030920	53025	0	0	0	0	225	225	1	0.45	0.33	0.51
256	322163	105638	177865097	234085	0	0	0	0	47344592	61798	0	0	0	0	256	256	1	0.43	0.32	0.51
289	325486	118742	229858710	288913	0	0	0	0	60963259	76088	0	0	0	0	289	289	2	0.56	0.37	0.61
