node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	303617	9499	5603860	25996	0	0	0	0	2838856	13106	0	0	0	0	200	200	6	0.0035000000000000005	0.08300000000000003	0.31850000000000006
100	306159	15210	17931504	56577	0	0	0	0	9033055	28410	0	0	0	0	200	175	9	0.002	0.0085	0.145
150	308734	20544	35817770	81773	0	0	0	0	18015870	41027	0	0	0	0	200	137	6	0.003	0.0115	0.06950000000000003
200	311361	26097	60384131	111395	0	0	0	0	30276005	55828	0	0	0	0	200	106	6	0.013000000000000001	0.016000000000000004	0.026500000000000003
250	314006	31645	92010310	143301	0	0	0	0	46137957	71809	0	0	0	0	200	75	4	0.017	0.016000000000000004	0.027500000000000004
300	316726	37259	129989610	180005	0	0	0	0	65168374	90185	0	0	0	0	200	84	5	0.022000000000000002	0.0205	0.0335
350	319464	42436	175852842	227759	0	0	0	0	88132679	114088	0	0	0	0	200	67	4	0.029500000000000005	0.0245	0.035500000000000004
400	322229	48275	230436005	276138	0	0	0	0	115507493	138342	0	0	0	0	200	47	4	0.030000000000000006	0.03200000000000001	0.04800000000000001
450	325137	54261	290210342	322973	0	0	0	0	145338972	161716	0	0	0	0	200	48	3	0.03300000000000001	0.033000000000000015	0.0485
500	328022	60899	359109035	378105	0	0	0	0	179906474	189369	0	0	0	0	200	43	5	0.0165	0.025500000000000005	0.049
550	330954	64915	437732342	436760	0	0	0	0	219224438	218696	0	0	0	0	200	46	4	0.030000000000000006	0.031500000000000014	0.0505
600	333999	71399	521645294	500137	0	0	0	0	261262937	250431	0	0	0	0	200	45	4	0.0215	0.03400000000000001	0.05550000000000001
650	337164	76300	618602704	600090	0	0	0	0	309724462	300419	0	0	0	0	200	31	3	0.021	0.040500000000000015	0.05850000000000001
700	340039	82981	720259951	674451	0	0	0	0	360678709	337672	0	0	0	0	200	24	4	0.0385	0.04550000000000002	0.06250000000000001
750	343457	88043	826419417	752280	0	0	0	0	413704933	376529	0	0	0	0	200	34	4	0.051000000000000004	0.0495	0.07200000000000001
800	346335	93418	933800512	829500	0	0	0	0	467435875	415193	0	0	0	0	200	36	3	0.035	0.050000000000000024	0.07250000000000001
850	349906	98957	1042602868	912111	0	0	0	0	521521129	456275	0	0	0	0	200	30	4	0.064	0.05900000000000001	0.07900000000000001
900	353264	114756	1156998349	1000008	0	0	0	0	578838853	500314	0	0	0	0	200	26	4	0.07200000000000002	0.07900000000000001	0.09200000000000003
950	356862	119349	1270811845	1101022	0	0	0	0	636175546	551111	0	0	0	0	200	28	4	0.05700000000000001	0.05950000000000002	0.09350000000000003
1000	359964	127691	1387630966	1186865	0	0	0	0	694752223	594184	0	0	0	0	200	21	5	0.06150000000000002	0.06600000000000002	0.09700000000000003
